LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000027,2011-12-08,2.9269999999999996,1.3499999999999999,1.358,3.6520000000000015,9.287
MAC000027,2011-12-09,2.402,1.0919999999999996,0.9859999999999999,3.044999999999999,7.524999999999999
MAC000027,2011-12-10,2.9079999999999995,3.181,3.1719999999999997,3.423,12.684
MAC000027,2011-12-11,3.285,3.3169999999999997,2.928,4.315,13.845000000000002
MAC000027,2011-12-12,3.0370000000000004,1.6720000000000002,1.946,3.8459999999999983,10.500999999999998
MAC000027,2011-12-13,2.8050000000000006,1.0059999999999998,0.9649999999999999,3.4970000000000017,8.273000000000001
MAC000027,2011-12-14,2.3920000000000003,1.2429999999999999,0.8899999999999998,2.9980000000000016,7.5230000000000015
MAC000027,2011-12-15,3.241,1.248,1.426,3.4369999999999985,9.351999999999999
MAC000027,2011-12-16,3.0149999999999997,1.2839999999999998,0.9799999999999999,3.0789999999999993,8.357999999999999
MAC000027,2011-12-17,2.819,2.4999999999999996,2.6829999999999994,4.111000000000001,12.113
MAC000027,2011-12-18,2.7390000000000003,3.2779999999999996,2.477,4.048,12.542
MAC000027,2011-12-19,3.4170000000000003,1.6560000000000001,1.5959999999999999,3.916999999999998,10.585999999999999
MAC000027,2011-12-20,3.1270000000000002,0.9089999999999999,1.2659999999999998,3.604000000000002,8.906000000000002
MAC000027,2011-12-21,3.3579999999999997,1.3749999999999998,1.0169999999999997,3.918,9.668
MAC000027,2011-12-22,2.4909999999999997,1.325,1.037,3.388,8.241
MAC000027,2011-12-23,3.298,1.415,2.8529999999999998,4.050000000000002,11.616000000000001
MAC000027,2011-12-24,3.4029999999999996,1.7699999999999998,1.425,4.003000000000002,10.601
MAC000027,2011-12-25,2.1959999999999997,1.514,1.3820000000000001,3.552,8.644
MAC000027,2011-12-26,2.2799999999999994,1.0779999999999998,0.32,1.8210000000000004,5.499
MAC000027,2011-12-27,2.4029999999999996,1.539,2.024,3.426999999999998,9.392999999999997
MAC000027,2011-12-28,3.6670000000000003,1.793,2.344,3.9439999999999977,11.747999999999998
MAC000027,2011-12-29,2.3000000000000003,1.429,1.447,2.8899999999999997,8.065999999999999
MAC000027,2011-12-30,2.255,1.9919999999999998,2.542,3.4450000000000003,10.234
MAC000027,2011-12-31,3.1560000000000006,0.8939999999999998,1.073,4.092999999999996,9.215999999999998
MAC000027,2012-01-01,2.291,1.613,2.4689999999999994,2.5889999999999986,8.961999999999998
MAC000027,2012-01-02,2.0629999999999997,0.7959999999999998,1.603,2.697000000000001,7.159000000000001
MAC000027,2012-01-03,2.011,1.14,0.6699999999999999,2.608999999999999,6.429999999999999
MAC000027,2012-01-04,1.976,0.3019999999999998,0.8029999999999997,2.474999999999998,5.555999999999997
MAC000027,2012-01-05,1.961,0.3,0.6629999999999998,2.496,5.42
MAC000027,2012-01-06,1.7149999999999999,0.6189999999999998,0.915,2.391000000000001,5.640000000000001
MAC000027,2012-01-07,2.2579999999999996,1.3099999999999996,2.627,3.171000000000001,9.366
MAC000027,2012-01-08,2.5809999999999995,2.33,2.496,2.527999999999999,9.934999999999999
MAC000027,2012-01-09,1.9640000000000002,1.2799999999999998,0.9409999999999998,3.8969999999999994,8.081999999999999
MAC000027,2012-01-10,1.6349999999999998,0.3619999999999999,0.6679999999999998,2.973999999999999,5.6389999999999985
MAC000027,2012-01-11,2.115,0.6419999999999999,0.7489999999999999,1.8279999999999987,5.333999999999999
MAC000027,2012-01-12,1.6679999999999997,0.29500000000000004,0.31199999999999994,2.8920000000000012,5.167000000000001
MAC000027,2012-01-13,1.895,1.1589999999999998,1.528,3.0729999999999964,7.654999999999996
MAC000027,2012-01-14,3.267,1.6379999999999997,1.951,3.856999999999998,10.712999999999997
MAC000027,2012-01-15,3.6659999999999995,2.0919999999999996,2.625,4.852000000000003,13.235000000000003
MAC000027,2012-01-16,3.1660000000000004,1.691,1.424,3.9959999999999956,10.276999999999996
MAC000027,2012-01-17,2.8569999999999998,2.7949999999999995,1.394,3.9899999999999984,11.035999999999998
