LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000170,2011-11-26,3.1019999999999994,2.336,3.272,6.291999999999998,15.001999999999997
MAC000170,2011-11-27,2.6969999999999996,3.8669999999999995,1.524,4.712000000000004,12.800000000000004
MAC000170,2011-11-28,1.9029999999999996,2.051,2.173,6.529999999999998,12.656999999999996
MAC000170,2011-11-29,4.5890001,1.98,2.038,4.8569999999999975,13.464000099999998
MAC000170,2011-11-30,1.656,1.463,1.7309999999999999,5.131000000000001,9.981000000000002
MAC000170,2011-12-01,2.723,1.5279999999999996,1.6560000000000001,5.069000000000001,10.976
MAC000170,2011-12-02,2.111,1.551,2.4959999999999996,5.4700000000000015,11.628
MAC000170,2011-12-03,1.944,1.152,1.672,5.107,9.875
MAC000170,2011-12-04,1.5939999999999999,0.994,2.28,4.508000000000001,9.376000000000001
MAC000170,2011-12-05,2.073,2.456,3.676,5.586999999999996,13.791999999999996
MAC000170,2011-12-06,3.8819999999999992,2.0159999999999996,3.141,5.010000000000003,14.049000000000001
MAC000170,2011-12-07,2.673,2.2230000000000003,1.7199999999999998,4.601999999999999,11.218
MAC000170,2011-12-08,2.207,1.5379999999999998,1.513,6.568,11.825999999999999
MAC000170,2011-12-09,3.2399999999999998,1.483,3.728,6.344999999999999,14.796
MAC000170,2011-12-10,1.9699999999999998,2.2819999999999996,3.3129999000000003,5.502,13.066999899999999
MAC000170,2011-12-11,2.259,3.068,2.541,4.494000000000005,12.362000000000005
MAC000170,2011-12-12,2.053,2.034,1.9720000000000002,4.849,10.908000000000001
MAC000170,2011-12-13,4.59,1.8929999999999998,2.965,5.959999999999994,15.407999999999994
MAC000170,2011-12-14,2.0349999999999997,1.8179999999999998,1.4329999999999998,6.188000000000001,11.474
MAC000170,2011-12-15,3.1769999999999996,1.2080000000000002,2.57,5.396000000000001,12.351
MAC000170,2011-12-16,3.3850000000000002,1.533,2.0959999999999996,5.016,12.03
MAC000170,2011-12-17,1.9329999999999996,1.426,4.3950001,5.69,13.4440001
MAC000170,2011-12-18,2.505,1.285,2.426,4.054999999999999,10.270999999999999
MAC000170,2011-12-19,3.228,2.166,2.531,4.582999999999997,12.507999999999997
MAC000170,2011-12-20,5.925000000000001,2.26,2.3749999999999996,3.3819999999999966,13.941999999999997
MAC000170,2011-12-21,2.1370000000000005,2.038,2.994,7.356999999999999,14.526
MAC000170,2011-12-22,2.321,2.798999999999999,2.097,5.123000000000001,12.34
MAC000170,2011-12-23,3.396,3.159,2.715,5.519000000000002,14.789000000000001
MAC000170,2011-12-24,2.405,3.629,3.192999999999999,7.665999999999999,16.892999999999997
MAC000170,2011-12-25,3.447,6.563,6.884,8.103999999999996,24.997999999999994
MAC000170,2011-12-26,2.323,2.4269999999999996,4.436,4.968000000000002,14.154000000000002
MAC000170,2011-12-27,3.225,1.257,3.555,4.443000000000005,12.480000000000006
MAC000170,2011-12-28,3.357,1.8519999999999996,2.494,6.860999999999997,14.563999999999997
MAC000170,2011-12-29,2.3149999999999995,5.22,2.078,7.500999999999998,17.113999999999997
MAC000170,2011-12-30,3.503,1.525,3.167,5.9929999999999986,14.187999999999999
MAC000170,2011-12-31,2.729,3.026,3.3839999999999995,8.006999999999994,17.145999999999994
MAC000170,2012-01-01,2.179,2.367,3.731,8.895000000000001,17.172
MAC000170,2012-01-02,3.5399999999999996,1.7829999999999997,3.243,3.773000000000002,12.339
MAC000170,2012-01-04,2.37,1.9329999999999996,1.2349999999999999,7.533000000000005,13.071000000000005
MAC000170,2012-01-05,2.1169999999999995,1.914,2.782,7.100999999999999,13.913999999999998
MAC000170,2012-01-06,3.109,1.6429999999999998,2.8179999999999996,5.872999999999999,13.442999999999998
MAC000170,2012-01-07,2.34,1.9050000000000002,4.3890001,5.8660000000000005,14.500000100000001
MAC000170,2012-01-08,2.3379999999999996,2.406,2.018,4.303999999999998,11.065999999999997
MAC000170,2012-01-09,1.886,2.614,2.0399999999999996,6.907999999999998,13.447999999999997
MAC000170,2012-01-10,3.564,2.7639999999999993,2.729,5.896999999999999,14.953999999999997
MAC000170,2012-01-11,1.96,2.206,2.222,6.790000000000001,13.178
MAC000170,2012-01-12,2.415,3.06,3.168,7.2870000999999975,15.930000099999997
MAC000170,2012-01-13,2.489,1.6559999999999997,2.6350000000000002,6.861000000000002,13.641000000000002
MAC000170,2012-01-14,4.702999999999999,3.4289999,3.2589999999999995,9.759999999999998,21.1509999
MAC000170,2012-01-15,2.638,1.802,2.211,5.168000000000001,11.819
MAC000170,2012-01-16,3.1970000000000005,2.4779999999999998,1.555,4.619,11.849
MAC000170,2012-01-17,4.539,1.8839999999999997,1.482,6.084999999999999,13.989999999999998
MAC000170,2012-01-18,2.4669999999999996,1.3579999999999999,2.1659999999999995,5.846999999999999,11.837999999999997
MAC000170,2012-01-19,2.751,2.677,2.2139999999999995,5.593999999999997,13.235999999999997
MAC000170,2012-01-20,4.598000000000001,1.3219999999999998,2.642,4.368000000000004,12.930000000000005
MAC000170,2012-01-21,1.837,1.784,2.9480000000000004,6.5319999999999965,13.100999999999997
MAC000170,2012-01-22,3.223,2.6180000000000003,1.537,6.944999999999998,14.322999999999997
MAC000170,2012-01-23,2.114,1.7109999999999999,1.6640000000000001,4.602000000000002,10.091000000000001
MAC000170,2012-01-24,4.9479999999999995,2.9250000000000003,2.347,4.305999999999999,14.525999999999998
MAC000170,2012-01-25,2.4269999999999996,2.232,2.127,5.657,12.443
MAC000170,2012-01-26,2.111,2.34,3.8429999999999995,4.520999999999997,12.814999999999998
MAC000170,2012-01-27,2.7689999999999997,1.258,1.9809999999999999,7.223000000000001,13.231
MAC000170,2012-01-28,2.322,1.3019999999999996,2.1870000000000003,6.500000000000004,12.311000000000003
MAC000170,2012-01-29,1.8299999999999998,1.1280000000000001,2.484,5.128999999999998,10.570999999999998
MAC000170,2012-01-30,2.4310000000000005,2.105,2.2119999999999997,7.655000000000001,14.403000000000002
MAC000170,2012-01-31,5.678999999999999,3.32,2.022,5.3490000000000055,16.370000000000005
MAC000170,2012-02-01,2.66,3.875,1.9669999999999996,4.562999999999998,13.064999999999998
MAC000170,2012-02-02,2.389,1.201,2.148,4.4929999999999986,10.230999999999998
MAC000170,2012-02-03,3.091,1.329,2.276,5.578999999999998,12.274999999999999
MAC000170,2012-02-04,5.045,3.7450000000000006,5.6550001,8.515,22.960000100000002
MAC000170,2012-02-05,2.872,1.34,2.764,4.555,11.530999999999999
MAC000170,2012-02-06,2.136,1.9849999999999999,2.5599999999999996,4.934,11.615
MAC000170,2012-02-07,6.7329999,2.8009999999999997,1.9609999999999999,4.023,15.5179999
MAC000170,2012-02-08,2.4139999999999997,2.082,3.413,4.128000000000005,12.037000000000004
MAC000170,2012-02-09,2.207,2.8179999999999996,2.388,5.577000000000002,12.990000000000002
MAC000170,2012-02-10,2.715,1.4979999999999998,1.693,7.484000000000002,13.39
MAC000170,2012-02-11,2.366,2.59,3.9090001,7.305,16.1700001
MAC000170,2012-02-12,2.532,2.127,2.8219999999999996,4.410999999999998,11.891999999999998
MAC000170,2012-02-13,2.285,1.8840000000000001,1.8829999999999998,6.621000000000001,12.673000000000002
MAC000170,2012-02-14,6.069000000000001,1.8900000000000001,1.438,4.742999999999999,14.14
MAC000170,2012-02-15,3.094,2.307,2.198,4.964,12.563
MAC000170,2012-02-16,3.951,1.7650000000000001,1.618,6.103999999999999,13.437999999999999
MAC000170,2012-02-17,2.502,1.7139999999999997,2.161,6.033999999999995,12.410999999999994
MAC000170,2012-02-18,1.7670000000000003,2.7830000000000004,1.803,7.076000000000001,13.429000000000002
MAC000170,2012-02-19,1.894,2.514,2.355,8.301999999999998,15.064999999999998
MAC000170,2012-02-20,3.2779999999999996,1.7630000000000001,1.4640000000000002,6.087999999999997,12.592999999999996
MAC000170,2012-02-21,8.088999999999999,2.7399999999999998,1.474,7.973999999999998,20.276999999999997
MAC000170,2012-02-22,2.166,1.976,3.878,5.774999999999999,13.794999999999998
MAC000170,2012-02-23,1.8889999999999996,1.2599999999999998,3.406,7.461999999999998,14.016999999999998
MAC000170,2012-02-24,2.8289999999999993,1.612,1.777,6.1869999999999985,12.404999999999998
MAC000170,2012-02-25,3.5889999999999995,2.068,2.216,6.141000000000001,14.014000000000001
MAC000170,2012-02-26,3.683,3.9950000000000006,2.4879999999999995,7.187000000000005,17.353000000000005
MAC000170,2012-02-27,3.112,2.534,1.4609999999999999,4.104000000000001,11.211
MAC000170,2012-02-28,3.9919999999999995,2.5309999999999997,1.107,6.159000000000004,13.789000000000005
MAC000170,2012-02-29,2.088,2.6799999999999997,1.064,4.391000000000002,10.223000000000003
MAC000170,2012-03-01,2.375,1.5629999999999997,3.9750000000000005,4.753999999999999,12.666999999999998
MAC000170,2012-03-02,3.485,1.3530000000000002,1.63,4.223,10.690999999999999
MAC000170,2012-03-03,3.653,2.143,2.762,6.474999999999998,15.032999999999998
MAC000170,2012-03-04,1.918,2.163,3.425,7.845999999999999,15.351999999999999
MAC000170,2012-03-05,1.965,2.3509999999999995,2.2449999999999997,5.116000000000001,11.677000000000001
MAC000170,2012-03-06,5.3750001,2.911,2.4219999999999997,8.8590001,19.5670002
MAC000170,2012-03-07,2.088,1.5549999999999997,1.762,5.594000000000001,10.999
MAC000170,2012-03-08,2.8659999999999997,3.025,3.4459999999999997,8.403000000000002,17.740000000000002
MAC000170,2012-03-09,3.124,1.5539999999999998,2.7159999999999997,5.9709999999999965,13.364999999999997
MAC000170,2012-03-10,3.0349999999999997,1.797,3.048,7.651999999999999,15.532
MAC000170,2012-03-11,2.745999999999999,1.508,2.2239999999999998,4.651000000000002,11.129000000000001
MAC000170,2012-03-12,2.9139999999999993,1.5199999999999998,2.566,4.173999999999997,11.173999999999996
MAC000170,2012-03-13,5.043,2.9509999999999996,1.4849999999999999,6.094999999999999,15.573999999999998
MAC000170,2012-03-14,2.396,1.2179999999999997,1.845,4.271000000000001,9.73
MAC000170,2012-03-15,1.8559999999999999,1.7699999999999998,1.085,4.3950000000000005,9.106
MAC000170,2012-03-16,2.36,1.15,1.6829999999999998,7.030000000000001,12.223
MAC000170,2012-03-17,1.986,3.08,3.3519999999999994,4.853999999999998,13.271999999999998
MAC000170,2012-03-18,3.0370000000000004,1.9500000000000002,5.237,3.9109999999999996,14.135
MAC000170,2012-03-19,1.8200000000000003,1.2109999999999999,1.15,3.459,7.640000000000001
MAC000170,2012-03-20,4.935,1.809,1.763,4.880999999999999,13.387999999999998
MAC000170,2012-03-21,3.2459999999999996,2.526,1.075,4.4479999999999995,11.294999999999998
MAC000170,2012-03-22,2.0229999999999997,1.196,1.1549999999999998,4.568000000000001,8.942
MAC000170,2012-03-23,2.7039999999999997,2.1239999999999997,1.245,5.3160000000000025,11.389000000000003
MAC000170,2012-03-24,3.27,2.117,3.002,7.632000000000004,16.021000000000004
MAC000170,2012-03-25,2.315,3.249999999999999,3.338,8.4870001,17.390000099999998
MAC000170,2012-03-26,2.5329999999999995,1.521,1.3739999999999999,6.604000000000003,12.032000000000002
MAC000170,2012-03-27,4.140000000000001,1.861,2.5420000000000003,3.721999999999998,12.264999999999999
MAC000170,2012-03-28,2.3069999999999995,1.334,2.3709999999999996,3.6190000000000007,9.631
MAC000170,2012-03-29,2.17,0.8969999999999998,0.8809999999999998,2.4139999999999997,6.361999999999999
MAC000170,2012-03-30,2.7569999999999997,0.8919999999999999,0.8919999999999999,2.138,6.678999999999999
MAC000170,2012-03-31,1.453,0.8919999999999998,0.8939999999999999,2.1830000000000016,5.4220000000000015
MAC000170,2012-04-01,2.1499999999999995,1.939,2.524,4.232000000000004,10.845000000000002
MAC000170,2012-04-02,2.0679999999999996,2.08,3.673,5.638,13.459
MAC000170,2012-04-03,5.104,1.2890000000000001,2.595,3.779000000000002,12.767000000000003
MAC000170,2012-04-04,2.04,2.3449999999999998,1.4149999999999998,3.8969999999999976,9.696999999999997
MAC000170,2012-04-05,2.198,2.0309999999999997,1.7199999999999998,3.798000000000002,9.747
MAC000170,2012-04-06,4.184,1.266,0.8729999999999999,3.555999999999998,9.878999999999998
MAC000170,2012-04-07,1.4469999999999996,0.8819999999999999,0.855,2.093000000000002,5.277000000000002
MAC000170,2012-04-08,1.456,0.8429999999999999,0.8499999999999999,2.1339999999999995,5.2829999999999995
MAC000170,2012-04-09,1.4139999999999997,0.8549999999999998,2.377,3.1910000000000034,7.837000000000002
MAC000170,2012-04-10,5.008,1.6329999999999998,2.4799999999999995,3.5680000000000023,12.689
MAC000170,2012-04-11,2.0209999999999995,2.747,2.574,4.106000000000002,11.448
MAC000170,2012-04-12,1.717,1.7559999999999998,3.305,4.611999999999998,11.389999999999999
MAC000170,2012-04-13,4.904,2.434,5.351999999999999,7.3979999999999935,20.087999999999994
MAC000170,2012-04-14,2.9829999999999997,1.958,3.23,7.802000099999995,15.973000099999995
MAC000170,2012-04-15,2.2600000000000002,2.8949999999999996,2.019,5.4129999999999985,12.586999999999998
MAC000170,2012-04-16,2.262,1.921,2.448,4.003,10.634
MAC000170,2012-04-17,6.7250001,1.9509999999999998,1.3539999999999996,7.146000000000001,17.1760001
MAC000170,2012-04-18,1.9700000000000002,1.214,2.9059999999999997,4.170000000000001,10.260000000000002
MAC000170,2012-04-19,1.99,1.039,2.827,3.7720000000000002,9.628
MAC000170,2012-04-20,2.456,3.7409999999999997,1.331,4.4200000000000035,11.948000000000002
MAC000170,2012-04-22,1.978,1.243,4.627,7.249,15.097
MAC000170,2012-04-23,1.7750000000000004,2.492,1.5619999999999998,3.997000000000004,9.826000000000004
MAC000170,2012-04-24,5.7299999999999995,1.407,1.3079999999999998,3.5159999999999973,11.960999999999999
MAC000170,2012-04-25,2.059,2.015,2.213,4.621000000000003,10.908000000000003
MAC000170,2012-04-26,4.215,5.807999999999999,4.579000000000001,5.921000000000003,20.523000000000003
MAC000170,2012-04-27,2.191,1.1729999999999998,1.0639999999999998,4.051000000000001,8.479000000000001
MAC000170,2012-04-28,3.364,2.5929999999999995,2.864,6.106999999999997,14.927999999999994
MAC000170,2012-04-29,2.0319999999999996,2.9759999999999995,4.0889999999999995,4.021,13.117999999999999
MAC000170,2012-04-30,1.9410000000000003,1.065,1.1929999999999998,4.128,8.327
MAC000170,2012-05-01,5.553,1.323,1.48,3.7419999999999978,12.097999999999997
MAC000170,2012-05-02,3.489,1.646,2.57,5.435999999999996,13.140999999999996
MAC000170,2012-05-03,3.820999999999999,1.9349999999999998,3.616,5.602000000000002,14.974
MAC000170,2012-05-04,2.8259999999999996,1.7169999999999996,1.733,3.2229999999999976,9.498999999999997
MAC000170,2012-05-05,2.5359999999999996,1.2800000000000002,4.0459999,5.847000000000007,13.708999900000006
MAC000170,2012-05-06,5.568,3.463,2.7700000000000005,7.708999999999999,19.509999999999998
MAC000170,2012-05-07,2.0559999999999996,1.883,2.01,4.062000000000002,10.011000000000003
MAC000170,2012-05-08,4.595,2.1879999999999997,4.122,3.862000000000001,14.767
MAC000170,2012-05-09,1.932,2.8329999999999997,1.127,3.345999999999999,9.238
MAC000170,2012-05-10,1.8639999999999999,1.401,1.2650000000000001,3.493,8.023
MAC000170,2012-05-11,3.8530000000000006,1.099,1.049,5.348999999999997,11.349999999999998
MAC000170,2012-05-12,2.1759999999999997,1.657,1.91,4.371999999999998,10.114999999999998
MAC000170,2012-05-13,3.036,2.2560000000000002,3.1950000000000003,6.302,14.789
MAC000170,2012-05-14,2.1599999999999997,1.764,3.7929999,6.916999999999996,14.633999899999996
MAC000170,2012-05-15,5.6200001,1.1259999999999997,1.351,7.087000000000001,15.184000099999999
MAC000170,2012-05-16,2.2199999999999993,2.097,1.206,3.387000000000002,8.910000000000002
MAC000170,2012-05-17,1.9349999999999998,1.9369999999999996,1.7939999999999998,4.731000000000001,10.397
MAC000170,2012-05-18,3.621,2.637999899999999,2.06,7.216000000000003,15.534999900000003
MAC000170,2012-05-19,2.2190000000000003,1.147,1.5709999999999997,3.881999999999997,8.818999999999997
MAC000170,2012-05-20,3.212,3.8039999999999994,1.5089999999999997,4.581000000000005,13.106000000000005
MAC000170,2012-05-21,1.5979999999999999,2.0780000000000003,1.006,4.029999999999998,8.711999999999998
MAC000170,2012-05-22,6.39,2.271,2.3480000000000003,4.524999999999999,15.533999999999999
MAC000170,2012-05-23,3.674,3.8420000000000005,1.549,6.636000000000003,15.701000000000002
MAC000170,2012-05-24,4.828999999999999,0.9249999999999999,0.9079999999999997,4.910999999999999,11.572999999999997
MAC000170,2012-05-25,1.8909999999999998,0.8789999999999999,0.9279999999999999,2.1760000000000015,5.8740000000000006
MAC000170,2012-05-26,1.48,0.8789999999999997,0.9019999999999999,2.1590000000000007,5.42
MAC000170,2012-05-27,1.435,0.9219999999999998,0.875,2.18,5.412
MAC000170,2012-05-28,1.4849999999999999,0.8729999999999999,0.9129999999999998,3.789000000000001,7.0600000000000005
MAC000170,2012-05-29,5.825000000000001,1.5979999999999999,1.8920000000000001,7.357999999999996,16.673
MAC000170,2012-05-30,3.3649999999999993,2.2969999999999997,2.23,6.434000000000001,14.326
MAC000170,2012-05-31,2.878,1.63,2.0500000000000003,7.201999999999998,13.759999999999998
MAC000170,2012-06-01,3.871,2.147,3.8840000999999997,8.770000099999995,18.672000199999992
MAC000170,2012-06-02,3.089,2.5939999999999994,1.5019999999999998,6.030000000000002,13.215000000000002
MAC000170,2012-06-03,3.2119999999999997,1.6659999999999997,1.917,7.291,14.085999999999999
MAC000170,2012-06-04,2.0749999999999997,1.1950000000000003,1.684,4.740000000000003,9.694000000000003
MAC000170,2012-06-05,8.088,3.7520000999999996,2.625,6.874999999999995,21.340000099999994
MAC000170,2012-06-06,2.2899999999999996,1.829,1.182,3.8979999999999992,9.199
MAC000170,2012-06-07,2.436,2.312,3.198,4.894000000000002,12.840000000000002
MAC000170,2012-06-08,2.142,1.4369999999999998,1.7189999999999999,4.470000000000002,9.768000000000002
MAC000170,2012-06-09,3.532,4.028,3.226,6.902000000000004,17.688000000000002
MAC000170,2012-06-10,4.582,2.085,4.142,6.94,17.749000000000002
MAC000170,2012-06-11,2.069,1.4729999999999999,2.306,3.62,9.468
MAC000170,2012-06-12,7.217999999999999,2.0,2.4439999999999995,4.390999999999998,16.052999999999997
MAC000170,2012-06-13,2.2769999999999992,1.7009999999999996,2.008,4.016000000000002,10.002
MAC000170,2012-06-14,1.8609999999999998,1.896,1.523,3.6850000000000005,8.965
MAC000170,2012-06-15,2.1359999999999997,1.14,1.5030000000000001,4.009000000000001,8.788
MAC000170,2012-06-16,3.13,1.917,1.04,5.6499999999999995,11.736999999999998
MAC000170,2012-06-17,4.257,1.329,1.912,4.683000000000003,12.181000000000003
MAC000170,2012-06-18,2.781,2.5759999999999996,4.0649999,5.282,14.7039999
MAC000170,2012-06-19,5.284999999999999,1.9109999999999998,1.3019999999999998,5.328999999999999,13.826999999999998
MAC000170,2012-06-20,2.0629999999999993,2.1189999999999998,1.686,3.6189999999999998,9.486999999999998
MAC000170,2012-06-21,2.930999999999999,1.5550000000000002,1.073,4.3430000000000035,9.902000000000003
MAC000170,2012-06-22,3.374,2.544,1.9819999999999998,5.161000000000001,13.061000000000002
MAC000170,2012-06-23,2.4899999999999998,1.855,2.5769999999999995,5.917999999999994,12.839999999999993
MAC000170,2012-06-24,2.938,2.149,3.317,7.079000000000001,15.483
MAC000170,2012-06-25,2.0050000000000003,1.279,1.552,6.553999999999997,11.389999999999997
MAC000170,2012-06-26,5.020999999999999,0.9549999999999998,2.128,4.485000000000003,12.589000000000002
MAC000170,2012-06-27,2.1649999999999996,1.9699999999999998,2.4499999999999997,6.548000000000002,13.133000000000001
MAC000170,2012-06-28,2.341,2.0829999999999997,3.7510000000000003,5.283999999999998,13.459
MAC000170,2012-06-29,3.659,1.833,0.9189999999999997,4.170999999999998,10.581999999999997
MAC000170,2012-06-30,1.4409999999999998,0.9259999999999999,0.8809999999999997,2.1779999999999995,5.425999999999999
MAC000170,2012-07-01,1.4469999999999998,0.8949999999999998,0.8849999999999999,2.103999999999999,5.330999999999999
MAC000170,2012-07-02,1.4240000000000002,0.8779999999999999,1.7209999999999996,3.7840000000000003,7.807
MAC000170,2012-07-03,3.995,1.783,1.7519999999999998,3.0650000000000004,10.595
MAC000170,2012-07-04,1.99,3.467,1.7639999999999998,3.8570000000000024,11.078000000000003
MAC000170,2012-07-05,1.8070000000000002,1.0150000000000001,1.0050000000000001,2.6849999999999987,6.511999999999999
MAC000170,2012-07-06,2.3440000000000003,0.8819999999999998,0.8719999999999999,5.108000000000003,9.206000000000003
MAC000170,2012-07-07,2.949,3.17,2.271,4.272000000000001,12.662000000000003
MAC000170,2012-07-08,3.1429999999999993,2.2739999999999996,1.8130000000000002,3.8810000000000024,11.111
MAC000170,2012-07-09,2.5890000000000004,2.099,2.8639999999999994,4.818,12.37
MAC000170,2012-07-10,5.59,1.9369999999999998,2.4539999999999997,7.091,17.072
MAC000170,2012-07-11,2.385,2.4069999999999996,2.983,5.806999999999995,13.581999999999995
MAC000170,2012-07-12,3.234,1.7369999999999999,1.642,9.444000000000003,16.057000000000002
MAC000170,2012-07-13,3.163,2.116,2.356,4.057999999999996,11.692999999999996
MAC000170,2012-07-14,2.56,1.7000000000000002,2.569,7.3699999999999966,14.198999999999996
MAC000170,2012-07-15,2.69,1.035,1.748,5.328,10.801
MAC000170,2012-07-16,3.3859999999999997,2.31,1.5209999999999997,5.505999999999999,12.722999999999999
MAC000170,2012-07-17,3.519999999999999,2.6210000000000004,3.505,3.1240000000000014,12.770000000000003
MAC000170,2012-07-18,1.8270000000000002,1.847,2.199,5.043999999999997,10.916999999999998
MAC000170,2012-07-19,2.242,1.6669999999999998,2.8489999999999998,4.453000000000001,11.211
MAC000170,2012-07-20,5.480999999999999,1.953,2.9070000000000005,7.255000000000003,17.596000000000004
MAC000170,2012-07-21,2.565,2.4819999999999998,3.832,6.090000000000006,14.969000000000005
MAC000170,2012-07-22,2.5,2.804,1.6929999999999998,6.438999999999998,13.435999999999998
MAC000170,2012-07-23,3.091999999999999,2.725,3.587,5.6480000000000015,15.052000000000001
MAC000170,2012-07-24,5.985999999999999,1.347,1.628,6.583000000000002,15.544
MAC000170,2012-07-25,3.077,1.1739999999999997,2.719,4.709,11.678999999999998
MAC000170,2012-07-26,1.8109999999999997,1.603,1.091,3.352000000000003,7.857000000000003
MAC000170,2012-07-27,3.743,1.5379999999999998,1.5050000000000001,4.170000000000001,10.956
MAC000170,2012-07-28,3.521,2.351,2.0389999999999997,8.252999999999998,16.163999999999998
MAC000170,2012-07-29,5.634999999999999,3.138,4.781,6.505999999999998,20.059999999999995
MAC000170,2012-07-30,1.991,3.703,1.643,2.6250000000000027,9.962000000000003
