LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000118,2011-12-15,1.329,0.985,2.89,3.6059999999999985,8.809999999999999
MAC000118,2011-12-16,1.6919999999999997,1.168,2.532,4.531999999999997,9.923999999999996
MAC000118,2011-12-17,1.6059999999999994,1.703,3.715,3.4810000000000008,10.504999999999999
MAC000118,2011-12-18,2.7670000000000003,3.657,3.378,3.3699999999999974,13.171999999999997
MAC000118,2011-12-19,1.4619999999999995,0.9859999999999998,3.3649999999999998,3.5350000000000015,9.348
MAC000118,2011-12-20,1.607,1.154,2.891,3.910999999999997,9.562999999999997
MAC000118,2011-12-21,1.6769999999999998,1.1889999999999998,3.662000000000001,3.660999999999998,10.188999999999998
MAC000118,2011-12-22,1.4250000000000003,2.435,3.778,3.8879999999999986,11.525999999999998
MAC000118,2011-12-23,2.0549999999999997,1.8239999999999998,3.5749999999999993,4.187000000000003,11.641000000000002
MAC000118,2011-12-24,2.425,2.323,5.919,6.657000100000002,17.3240001
MAC000118,2011-12-25,2.206,4.4079999999999995,3.0979999999999994,4.597000000000003,14.309000000000001
MAC000118,2011-12-26,2.913,3.172,3.204,4.301000000000002,13.590000000000002
MAC000118,2011-12-27,2.9049999999999994,1.7269999999999996,3.047,3.8059999999999987,11.484999999999998
MAC000118,2011-12-28,1.4359999999999997,0.5329999999999999,0.5769999999999998,2.5069999999999992,5.052999999999999
MAC000118,2011-12-29,2.0629999999999997,1.5159999999999998,3.469,2.6199999999999997,9.668
MAC000118,2011-12-30,1.9,0.48499999999999993,0.5609999999999997,1.593000000000001,4.539000000000001
MAC000118,2011-12-31,0.8550000000000001,0.5269999999999999,0.519,1.3370000000000006,3.238000000000001
MAC000118,2012-01-01,0.8489999999999999,0.482,0.575,1.3500000000000014,3.256000000000001
MAC000118,2012-01-02,0.8400000000000001,1.7389999999999999,2.927,1.9690000000000007,7.475000000000001
MAC000118,2012-01-03,1.472,1.43,1.6379999999999997,2.3209999999999997,6.861
MAC000118,2012-01-04,1.2939999999999996,1.093,1.8,2.436000000000001,6.623
MAC000118,2012-01-05,1.7409999999999997,1.1229999999999998,1.8439999999999999,2.5350000000000015,7.243
MAC000118,2012-01-06,1.4939999999999996,1.0299999999999998,2.367,2.815999999999998,7.706999999999997
MAC000118,2012-01-07,2.005,3.3899999999999997,2.7109999999999994,2.551000000000002,10.657
MAC000118,2012-01-08,1.5819999999999994,4.204000000000001,2.2249999999999996,2.3360000000000003,10.347
MAC000118,2012-01-09,1.543,1.1609999999999998,1.5639999999999998,2.376999999999999,6.644999999999999
MAC000118,2012-01-10,1.2979999999999998,1.173,1.794,2.632,6.897
MAC000118,2012-01-11,1.2069999999999999,1.158,1.954,2.3950000000000005,6.714
