LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000154,2011-11-24,1.8929999999999998,2.0969999999999995,3.6139999,3.2749999999999964,10.878999899999997
MAC000154,2011-11-25,1.505,2.277,2.939,2.857999999999998,9.578999999999997
MAC000154,2011-11-26,2.127,1.2899999999999998,3.737,3.194,10.347999999999999
MAC000154,2011-11-27,1.8519999999999999,2.408,2.059,2.586000000000001,8.905000000000001
MAC000154,2011-11-28,2.586,0.7889999999999999,4.5169999999999995,2.8459999999999983,10.737999999999998
MAC000154,2011-11-29,3.037,1.583,2.4139999999999997,3.140999999999999,10.174999999999999
MAC000154,2011-11-30,2.368,2.8929999999999993,4.1049999999999995,3.394000000000001,12.760000000000002
MAC000154,2011-12-01,1.8159999999999998,2.4090000000000007,2.859,3.2399999999999984,10.323999999999998
MAC000154,2011-12-02,1.564,2.4059999999999997,1.6099999999999999,3.145,8.725
MAC000154,2011-12-03,1.5739999999999998,2.2689999999999997,1.194,4.118000000000001,9.155000000000001
MAC000154,2011-12-04,2.1519999999999997,2.992,2.363,2.896999999999997,10.403999999999996
MAC000154,2011-12-05,1.646,0.585,4.266,3.735999999999999,10.232999999999999
MAC000154,2011-12-06,1.2959999999999998,1.602,2.4299999999999997,2.721000000000002,8.049000000000001
MAC000154,2011-12-07,2.6710000000000003,2.024,6.9630001,3.247999999999996,14.906000099999996
MAC000154,2011-12-08,1.3859999999999997,2.3129999999999997,1.831,2.826000000000001,8.356
MAC000154,2011-12-09,2.251,1.7369999999999999,2.709,2.533000000000001,9.23
MAC000154,2011-12-10,2.335,2.4259999999999997,3.7910000000000004,2.5009999999999994,11.052999999999999
MAC000154,2011-12-11,9.482000000000001,3.4519999999999995,3.5839999999999996,2.9449999999999967,19.462999999999997
MAC000154,2011-12-12,1.152,1.0719999999999998,3.1469999999999994,2.6900000000000004,8.061
MAC000154,2011-12-16,1.409,1.38,4.117,2.2539999999999987,9.159999999999998
MAC000154,2011-12-17,2.489,1.587,3.9080000000000004,2.479000000000001,10.463000000000001
MAC000154,2011-12-18,2.137,3.447,1.714,3.7729999999999992,11.071
MAC000154,2011-12-19,1.546,2.243,1.2999999999999998,3.4940000000000024,8.583000000000002
