LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000114,2011-12-15,1.3960000000000001,0.24499999999999988,1.763,1.7169999999999996,5.1209999999999996
MAC000114,2011-12-16,1.4199999999999997,1.0819999999999999,1.6069999999999998,1.3539999999999996,5.462999999999999
MAC000114,2011-12-17,2.447,0.892,1.7189999999999999,2.1159999999999988,7.173999999999999
MAC000114,2011-12-18,2.525,1.846,1.674,1.0849999999999986,7.129999999999999
MAC000114,2011-12-19,1.5559999999999998,0.9169999999999999,1.9639999999999997,1.432000000000001,5.869000000000001
MAC000114,2011-12-20,1.5659999999999998,0.919,3.2099999999999995,1.337000000000001,7.032
MAC000114,2011-12-21,2.92,1.2789999999999997,2.4710000000000005,1.3299999999999987,7.999999999999998
MAC000114,2011-12-22,1.4079999999999997,0.27,1.7979999999999996,1.4240000000000004,4.8999999999999995
MAC000114,2011-12-23,2.421,1.1059999999999999,2.2849999999999997,1.3840000000000008,7.196
MAC000114,2011-12-24,2.566,1.1059999999999999,2.245,1.6419999999999995,7.558999999999999
MAC000114,2011-12-25,1.557,0.36999999999999994,0.33599999999999997,1.0070000000000001,3.27
MAC000114,2011-12-26,1.6119999999999999,0.28800000000000003,0.8519999999999998,1.4999999999999996,4.251999999999999
MAC000114,2011-12-27,2.3449999999999998,1.228,2.8219999999999996,1.2590000000000008,7.654
MAC000114,2011-12-28,2.692,0.767,1.849,1.2600000000000005,6.5680000000000005
MAC000114,2011-12-29,1.4339999999999997,1.6139999999999999,0.345,1.4179999999999986,4.810999999999998
MAC000114,2011-12-30,1.105,0.9929999999999998,3.4099999999999997,1.7670000000000008,7.275
MAC000114,2011-12-31,2.134,0.853,1.545,1.1440000000000001,5.676
MAC000114,2012-01-01,1.138,1.669,1.4689999999999996,2.0069999999999997,6.2829999999999995
MAC000114,2012-01-02,1.295,0.569,3.045,0.9979999999999993,5.906999999999999
MAC000114,2012-01-03,1.47,0.8630000000000001,2.2169999999999996,1.3499999999999992,5.899999999999999
MAC000114,2012-01-04,2.1769999999999996,1.1839999999999997,2.0060000000000002,1.0390000000000001,6.405999999999999
MAC000114,2012-01-05,1.3789999999999998,0.2709999999999999,1.754,1.4160000000000008,4.82
MAC000114,2012-01-06,1.18,0.398,2.3689999999999998,1.1649999999999996,5.111999999999999
MAC000114,2012-01-07,2.017,1.3339999999999996,1.505,1.1280000000000006,5.984
MAC000114,2012-01-08,1.843,1.56,1.315,1.2350000000000003,5.953
MAC000114,2012-01-09,1.311,0.896,2.1819999999999995,1.1450000000000022,5.534000000000002
MAC000114,2012-01-10,2.145,0.9259999999999997,1.9709999999999999,1.1949999999999992,6.236999999999999
MAC000114,2012-01-11,1.0619999999999996,0.6469999999999998,2.1830000000000003,1.306,5.1979999999999995
MAC000114,2012-01-12,1.2479999999999996,0.252,1.339,1.4240000000000008,4.263
MAC000114,2012-01-13,1.3169999999999993,1.036,3.0660000000000003,1.3650000000000007,6.784000000000001
MAC000114,2012-01-14,1.8849999999999998,0.6900000000000001,2.045,1.385000000000002,6.005000000000001
MAC000114,2012-01-15,1.3529999999999998,1.173,1.5889999999999997,1.264000000000001,5.3790000000000004
MAC000114,2012-01-16,1.203,0.6900000000000001,2.137,1.2399999999999993,5.27
MAC000114,2012-01-17,1.7699999999999996,0.9789999999999999,2.0989999999999998,1.3880000000000012,6.236000000000001
MAC000114,2012-01-18,2.6559999999999997,0.7859999999999998,2.851,1.2040000000000006,7.497
MAC000114,2012-01-19,1.6989999999999996,0.263,1.8390000000000002,1.4439999999999993,5.244999999999999
MAC000114,2012-01-20,1.6209999999999996,0.876,1.9689999999999996,1.0940000000000005,5.56
MAC000114,2012-01-21,1.861,0.9859999999999999,1.8699999999999999,1.5460000000000023,6.263000000000002
MAC000114,2012-01-22,2.487,1.696,1.663,1.6069999999999978,7.452999999999998
MAC000114,2012-01-23,2.168,0.763,2.0860000000000003,1.280999999999998,6.297999999999998
MAC000114,2012-01-24,1.6069999999999998,0.7559999999999999,3.138,1.2379999999999995,6.738999999999999
MAC000114,2012-01-25,1.1179999999999999,1.115,2.351,1.378000000000001,5.962000000000001
MAC000114,2012-01-26,1.4019999999999997,0.5660000000000001,2.8519999999999994,1.298,6.117999999999999
MAC000114,2012-01-27,1.4579999999999997,0.241,1.527,1.269999999999998,4.495999999999998
MAC000114,2012-01-28,1.523,2.37,2.189,1.5590000000000002,7.641
MAC000114,2012-01-29,1.5219999999999996,1.474,1.6129999999999998,1.4920000000000007,6.101
MAC000114,2012-01-30,1.3749999999999998,0.8389999999999999,2.1870000000000003,1.1829999999999994,5.584
MAC000114,2012-01-31,1.9169999999999994,0.9470000000000001,2.181,1.408999999999999,6.453999999999999
MAC000114,2012-02-01,1.9280000000000002,0.519,2.011,1.416999999999999,5.874999999999999
MAC000114,2012-02-02,1.333,0.256,2.83,1.472999999999999,5.8919999999999995
MAC000114,2012-02-03,1.8109999999999997,0.5589999999999999,3.11,1.3669999999999995,6.8469999999999995
MAC000114,2012-02-04,2.316,0.9379999999999997,2.029,1.439,6.7219999999999995
MAC000114,2012-02-05,1.47,1.512,1.464,1.3709999999999996,5.816999999999999
MAC000114,2012-02-06,2.6919999999999993,0.79,3.1390000000000002,1.2539999999999996,7.874999999999999
MAC000114,2012-02-07,1.7999999999999996,0.661,2.1679999999999997,1.4020000000000001,6.031
MAC000114,2012-02-08,1.2319999999999998,1.016,2.1129999999999995,1.240000000000002,5.601000000000001
MAC000114,2012-02-09,1.2859999999999998,0.377,2.009,1.4149999999999996,5.087
MAC000114,2012-02-10,1.2399999999999998,0.5059999999999999,3.608,1.1449999999999982,6.498999999999997
MAC000114,2012-02-11,2.157,0.81,1.3769999999999998,1.4160000000000008,5.76
MAC000114,2012-02-13,1.2609999999999997,0.41699999999999965,1.8619999999999999,1.4539999999999995,4.993999999999999
MAC000114,2012-02-14,1.5980000000000003,0.9509999999999997,2.183,1.3419999999999996,6.073999999999999
MAC000114,2012-02-15,1.1499999999999997,0.6049999999999999,2.958999999999999,1.424,6.137999999999998
MAC000114,2012-02-16,1.8229999999999993,0.3049999999999997,1.8659999999999997,1.5550000000000006,5.5489999999999995
MAC000114,2012-02-17,1.5019999999999998,0.8029999999999999,1.9489999999999996,1.3800000000000001,5.6339999999999995
MAC000114,2012-02-18,2.1989999999999994,1.0650000000000002,1.0019999999999998,1.5940000000000012,5.86
MAC000114,2012-02-19,1.2509999999999997,0.8690000000000001,1.501,1.4820000000000002,5.103
MAC000114,2012-02-20,1.388,0.6799999999999999,2.1189999999999998,1.5090000000000021,5.6960000000000015
MAC000114,2012-02-21,1.4399999999999993,0.5329999999999999,1.841,1.313999999999998,5.1279999999999974
MAC000114,2012-02-22,1.5919999999999996,1.7380000000000002,1.9619999999999995,1.2200000000000009,6.5120000000000005
MAC000114,2012-02-23,1.447,0.3209999999999998,1.5129999999999995,1.371,4.651999999999999
MAC000114,2012-02-24,1.9140000000000004,0.5939999999999995,2.7279999999999993,1.3459999999999996,6.581999999999999
MAC000114,2012-02-25,2.113,0.613,1.6879999999999997,1.560999999999999,5.974999999999999
MAC000114,2012-02-26,2.2879999999999994,1.1259999999999994,1.1819999999999997,1.3310000000000002,5.926999999999999
MAC000114,2012-02-27,1.1869999999999996,1.2589999999999997,2.9669999999999996,1.2439999999999998,6.656999999999998
MAC000114,2012-02-28,1.4029999999999991,0.8759999999999999,2.0489999999999995,1.3039999999999998,5.631999999999998
MAC000114,2012-02-29,1.5419999999999996,0.5329999999999998,2.5389999999999997,1.4330000000000003,6.046999999999999
MAC000114,2012-03-01,1.2239999999999995,0.3269999999999999,1.456,1.4499999999999997,4.456999999999999
MAC000114,2012-03-02,1.3159999999999998,0.3329999999999999,3.106,1.2809999999999988,6.035999999999999
MAC000114,2012-03-03,1.706,0.9129999999999999,1.8339999999999999,1.5700000000000005,6.023
MAC000114,2012-03-04,1.5619999999999994,1.581,1.353,1.4449999999999996,5.940999999999999
MAC000114,2012-03-05,1.2799999999999996,0.7879999999999999,1.884,1.3069999999999995,5.258999999999999
MAC000114,2012-03-06,1.3779999999999994,1.0319999999999998,2.191,1.5649999999999986,6.165999999999998
MAC000114,2012-03-07,1.5509999999999997,0.8839999999999998,2.908,1.4149999999999978,6.757999999999997
MAC000114,2012-03-08,1.1239999999999997,0.309,1.5479999999999998,1.5150000000000008,4.496
MAC000114,2012-03-09,1.3119999999999994,0.8759999999999999,1.8569999999999998,1.5250000000000012,5.57
MAC000114,2012-03-10,1.932,0.5859999999999999,1.6159999999999997,1.4600000000000009,5.594
MAC000114,2012-03-11,1.0999999999999996,1.145,1.0599999999999998,1.3559999999999992,4.660999999999999
MAC000114,2012-03-12,2.0709999999999997,0.506,1.5619999999999998,1.2110000000000007,5.35
MAC000114,2012-03-13,1.1829999999999996,0.7449999999999998,1.6559999999999997,1.5130000000000003,5.0969999999999995
MAC000114,2012-03-14,1.4569999999999996,0.524,1.787,1.458000000000001,5.226000000000001
MAC000114,2012-03-15,1.2389999999999999,0.31699999999999984,2.605,1.4489999999999985,5.609999999999998
MAC000114,2012-03-16,1.7529999999999997,1.1729999999999998,1.51,1.408999999999997,5.844999999999996
MAC000114,2012-03-17,1.696,1.563,1.8519999999999999,1.5060000000000007,6.617000000000001
MAC000114,2012-03-18,1.991,1.161,1.382,1.435999999999998,5.969999999999998
MAC000114,2012-03-19,1.3169999999999997,0.4219999999999999,1.7159999999999997,1.3150000000000013,4.7700000000000005
MAC000114,2012-03-20,1.1479999999999997,0.578,1.5099999999999998,1.3970000000000007,4.633
MAC000114,2012-03-21,1.9089999999999996,0.512,1.3429999999999997,1.256,5.02
MAC000114,2012-03-22,1.1909999999999996,0.31299999999999983,1.5189999999999997,1.3549999999999982,4.3779999999999974
MAC000114,2012-03-23,1.257,0.49899999999999983,2.9579999999999997,1.2359999999999984,5.9499999999999975
MAC000114,2012-03-24,1.946,0.5269999999999998,1.5590000000000002,1.4700000000000002,5.502000000000001
MAC000114,2012-03-25,1.4629999999999996,0.3339999999999997,1.8740000000000003,1.0909999999999982,4.761999999999998
MAC000114,2012-03-26,1.1159999999999999,0.4849999999999999,2.783,0.8989999999999974,5.282999999999997
MAC000114,2012-03-27,1.473,0.5979999999999999,1.4729999999999999,1.2289999999999992,4.772999999999999
MAC000114,2012-03-28,1.2890000000000001,0.542,1.5179999999999998,1.0879999999999983,4.4369999999999985
MAC000114,2012-03-29,1.1129999999999995,0.32299999999999973,1.4809999999999999,1.0739999999999998,3.9909999999999988
MAC000114,2012-03-30,1.8449999999999998,0.7789999999999998,0.8359999999999996,1.222000000000001,4.682
MAC000114,2012-03-31,2.0929999999999995,0.7209999999999999,1.664,1.142000000000001,5.62
MAC000114,2012-04-01,1.8769999999999996,0.4349999999999998,1.55,1.1109999999999987,4.972999999999998
MAC000114,2012-04-02,2.1259999999999994,0.522,2.6399999999999997,1.0359999999999996,6.323999999999999
MAC000114,2012-04-03,1.2510000000000001,0.7359999999999999,1.4089999999999998,1.3369999999999989,4.732999999999999
MAC000114,2012-04-04,1.307,0.9450000000000001,1.351,1.083000000000001,4.686000000000001
MAC000114,2012-04-05,1.2989999999999997,0.3189999999999998,1.5449999999999997,1.1769999999999998,4.339999999999999
MAC000114,2012-04-06,2.2560000000000007,0.5639999999999998,1.426,1.0250000000000006,5.271000000000001
MAC000114,2012-04-07,1.6949999999999998,0.4839999999999998,1.8239999999999998,1.1079999999999983,5.110999999999999
MAC000114,2012-04-08,1.2139999999999995,0.34899999999999975,1.2149999999999999,1.177,3.954999999999999
MAC000114,2012-04-09,1.705,0.9810000000000001,1.6960000000000002,1.0449999999999995,5.427
MAC000114,2012-04-10,1.7359999999999998,1.132,1.075,1.1519999999999986,5.094999999999998
MAC000114,2012-04-11,1.931,1.163,2.8010000000000006,1.0329999999999981,6.927999999999999
MAC000114,2012-04-12,1.4359999999999993,0.32399999999999995,1.7409999999999999,1.0790000000000013,4.580000000000001
MAC000114,2012-04-13,2.4010000000000002,0.509,1.627,0.9790000000000008,5.516000000000001
MAC000114,2012-04-14,1.5,1.128,1.4569999999999999,1.0699999999999994,5.154999999999999
MAC000114,2012-04-15,2.205,0.46999999999999986,0.8400000000000001,1.0069999999999986,4.5219999999999985
MAC000114,2012-04-16,1.2269999999999999,0.83,1.5299999999999998,1.5039999999999996,5.090999999999999
MAC000114,2012-04-17,1.3699999999999997,0.5949999999999998,1.536,1.2410000000000014,4.742000000000001
MAC000114,2012-04-18,2.189999999999999,0.8359999999999999,1.6339999999999997,1.0180000000000013,5.678
MAC000114,2012-04-19,1.1839999999999997,0.3359999999999998,1.73,1.0229999999999992,4.272999999999999
MAC000114,2012-04-20,1.3739999999999997,0.88,2.7000000999999996,1.155999999999997,6.110000099999996
MAC000114,2012-04-21,2.531,0.5459999999999999,1.435,1.1229999999999998,5.635
MAC000114,2012-04-22,1.733,0.40900000000000003,1.8879999999999997,1.2289999999999976,5.258999999999998
MAC000114,2012-04-23,1.3779999999999997,0.9189999999999999,1.6239999999999999,1.0619999999999992,4.982999999999999
