LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000044,2011-12-09,2.899,1.1979999999999997,2.2029999999999994,4.912,11.212
MAC000044,2011-12-10,2.8679999999999994,2.9310000000000005,3.4419999999999997,4.241999999999997,13.482999999999997
MAC000044,2011-12-11,4.112,7.3010000999999995,2.657,3.2329999999999988,17.3030001
MAC000044,2011-12-12,6.2469999000000005,1.981,3.143,2.620000000000002,13.990999900000002
MAC000044,2011-12-13,6.364999899999999,1.9050000000000002,2.6239999999999997,2.3919999999999977,13.285999899999995
MAC000044,2011-12-14,7.199,1.76,2.431,4.269000000000001,15.659000000000002
MAC000044,2011-12-15,6.6909999,1.754,2.474,3.2020000000000035,14.120999900000003
MAC000044,2011-12-16,5.599999999999999,2.4219999999999997,2.452,5.261000000000002,15.735
MAC000044,2011-12-17,4.21,2.6679999999999997,4.457,4.143999999999999,15.479
MAC000044,2011-12-18,6.287999999999999,5.781999900000001,2.854,2.882999999999993,17.80699989999999
MAC000044,2011-12-19,5.188999999999999,3.4619999999999997,3.2720000000000002,3.1780000000000026,15.101000000000003
MAC000044,2011-12-20,5.9559999999999995,1.8719999999999999,1.7029999999999998,2.9800000000000018,12.511000000000001
MAC000044,2011-12-21,7.269,1.4569999999999999,1.773,3.7530000000000046,14.252000000000002
MAC000044,2011-12-22,7.074,1.919,2.6149999999999998,2.994000000000002,14.602000000000002
MAC000044,2011-12-23,2.685,3.861,6.7200001,3.0240000000000027,16.2900001
MAC000044,2011-12-24,4.168,3.793,2.8819999999999997,2.490999999999997,13.333999999999996
MAC000044,2011-12-25,6.913,1.792,3.849,4.651000000000002,17.205000000000002
MAC000044,2011-12-26,2.7329999999999997,2.2670000000000003,2.241,2.845,10.086
MAC000044,2011-12-27,5.3100000000000005,5.787,3.3750000000000004,5.212,19.684
MAC000044,2011-12-28,8.697,6.219,3.106,5.049999999999999,23.071999999999996
MAC000044,2011-12-29,6.731999999999999,1.855,2.4469999999999996,3.151999999999997,14.185999999999996
MAC000044,2011-12-30,7.25,3.8529999999999998,4.62,3.0300000000000002,18.753
MAC000044,2011-12-31,5.271999999999999,1.7889999999999997,2.7849999999999997,2.977,12.822999999999999
MAC000044,2012-01-01,5.603000000000001,4.434,2.8379999999999996,2.8239999999999967,15.698999999999996
MAC000044,2012-01-02,3.239,5.733999999999999,3.239,4.291999999999998,16.503999999999998
MAC000044,2012-01-03,3.135,1.471,4.529999999999999,3.4010000000000016,12.537
MAC000044,2012-01-04,7.326,1.158,2.4810000000000003,3.083999999999999,14.049
MAC000044,2012-01-05,4.136999999999999,1.3059999999999998,2.1849999999999996,2.9450000000000003,10.572999999999999
MAC000044,2012-01-06,6.54,1.146,1.952,4.252999999999998,13.890999999999998
MAC000044,2012-01-07,2.9030000000000005,2.261,2.66,3.2969999999999997,11.121
MAC000044,2012-01-08,7.797,5.3669998,4.242999999999999,3.1820000000000066,20.588999800000003
MAC000044,2012-01-09,5.107,1.105,2.2059999999999995,4.944999999999997,13.362999999999996
MAC000044,2012-01-10,5.7,1.234,2.108,3.140999999999996,12.182999999999996
MAC000044,2012-01-11,5.371999999999999,2.047,2.264,2.986999999999996,12.669999999999995
MAC000044,2012-01-12,5.868,2.5369999999999995,2.226,2.709999999999998,13.340999999999998
MAC000044,2012-01-13,5.856,2.829,2.2889999999999997,3.6969999999999974,14.670999999999998
MAC000044,2012-01-14,4.0,1.2999999999999998,2.642,4.824999999999996,12.766999999999996
MAC000044,2012-01-15,7.959,5.130999999999999,3.009,4.416999999999996,20.516
MAC000044,2012-01-16,5.6690000000000005,2.384,1.9249999999999998,3.559999999999998,13.538
MAC000044,2012-01-17,4.7,4.39,2.9340000999999996,4.008000000000003,16.0320001
MAC000044,2012-01-18,6.519,1.347,1.9669999999999999,2.870000000000002,12.703000000000003
MAC000044,2012-01-19,3.066,2.082,2.289,2.4919999999999987,9.928999999999998
MAC000044,2012-01-20,6.8119999999999985,1.2089999999999996,2.347,2.5629999999999993,12.930999999999996
MAC000044,2012-01-21,2.367,1.5469999999999995,2.411,2.851999999999998,9.176999999999998
MAC000044,2012-01-22,4.994999999999999,6.9830000000000005,4.254,2.681000000000008,18.913000000000007
MAC000044,2012-01-23,6.848999999999999,2.19,3.9839999,4.496999999999998,17.5199999
MAC000044,2012-01-24,5.202,3.8709999999999996,3.074,3.149000000000002,15.296000000000003
MAC000044,2012-01-25,6.841,4.704,2.61,4.588999999999999,18.744
MAC000044,2012-01-26,2.92,7.116,2.545,3.4309999999999974,16.011999999999997
MAC000044,2012-01-27,7.099,1.1400000000000001,2.189,2.959999999999999,13.388
MAC000044,2012-01-28,4.074,1.806,2.436,3.043999999999998,11.359999999999996
MAC000044,2012-01-29,6.623000000000001,6.5419998999999995,4.632,3.874999999999991,21.671999899999996
MAC000044,2012-01-30,3.929,2.45,2.4139999999999997,3.3390000000000013,12.132000000000001
MAC000044,2012-01-31,4.938,1.525,3.806,5.344,15.613
MAC000044,2012-02-01,7.258999999999999,1.103,3.584,3.5460000000000007,15.491999999999999
MAC000044,2012-02-02,3.0709999999999997,1.329,2.411,2.0260000000000002,8.837
MAC000044,2012-02-03,7.702999999999999,1.019,2.335,5.294,16.351
MAC000044,2012-02-04,2.3099999999999996,1.2999999999999998,3.512,2.696000000000002,9.818000000000001
