LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000021,2011,12,167.8469999,97.481,120.319,209.3370001,594.984
MAC000021,2012,1,199.5940003,111.8640001,130.955,251.46000000000004,693.8730004
MAC000021,2012,2,207.8029997,108.36899989999999,144.4169999,263.35700010000005,723.9459996
MAC000021,2012,3,198.079,108.462,118.8749999,252.86399999999998,678.2799999
MAC000021,2012,4,201.3820001,116.1700001,143.174,273.89699999999993,734.6230002
MAC000021,2012,5,197.504,113.795,125.624,289.32,726.243
MAC000021,2012,6,188.297,99.3370001,108.773,248.24200009999998,644.6490002
MAC000021,2012,7,140.89399989999998,83.9740001,85.3219999,194.59000000000003,504.7799999
MAC000021,2012,8,172.4979999,95.6520001,110.1990001,245.5490003,623.8980004
MAC000021,2012,9,157.70399989999999,99.7210001,111.4190001,232.01500009999995,600.8590002
MAC000021,2012,10,216.471,115.7280002,139.8559997,257.01499989999996,729.0699998
MAC000021,2012,11,217.89499999999998,128.7909999,152.4950003,255.09999989999994,754.2810001
MAC000021,2012,12,227.1690003,124.99900000000001,163.2740003,280.4609999,795.9030005000001
MAC000021,2013,1,225.856,131.99,152.5499998,299.0679998,809.4639996000001
MAC000021,2013,2,195.944,119.6669999,127.29299979999999,264.61499999999995,707.5189997
MAC000021,2013,3,213.438,119.26,155.15400019999998,292.0990002,779.9510004
MAC000021,2013,4,195.7320001,110.179,132.3500001,273.562,711.8230002
MAC000021,2013,5,177.472,112.6140001,120.445,257.9540001,668.4850002
MAC000021,2013,6,155.055,91.733,95.0770001,224.062,565.9270001
MAC000021,2013,7,106.873,60.294999999999995,56.730999999999995,155.718,379.61699999999996
MAC000021,2013,8,139.961,82.259,99.421,210.38599989999997,532.0269999
MAC000021,2013,9,170.736,103.6019998,134.7200002,256.34499999999997,665.403
MAC000021,2013,10,197.918,93.7439999,163.4530002,270.3990002,725.5140003
MAC000021,2013,11,213.9389996,111.25900010000001,155.146,289.91599990000003,770.2599996
MAC000021,2013,12,216.429,119.7110001,150.0839997,269.8780002,756.102
MAC000021,2014,1,224.7159998,126.9259999,149.0299999,280.18099989999996,780.8529995
MAC000021,2014,2,170.8290002,90.78,113.9799999,225.404,600.9930001
MAC000376,2012,3,30.539999799999997,42.495,27.682,62.174,162.8909998
MAC000376,2012,4,65.69400019999999,61.120999899999994,48.364,87.55700000000002,262.7360001
MAC000376,2012,5,65.3810003,58.4099997,46.745999999999995,77.915,248.452
MAC000376,2012,6,73.20600019999999,50.525999999999996,43.648999999999994,72.10199999999999,239.48300019999996
MAC000376,2012,7,75.7679998,39.626,42.242,69.325,226.9609998
MAC000376,2012,8,76.9679997,47.269999999999996,38.631,72.474,235.3429997
MAC000376,2012,9,82.53600010000001,52.0969998,44.363,68.30699999999999,247.30299989999997
MAC000376,2012,10,68.895,63.5050002,49.372,84.47200000000001,266.2440002
MAC000376,2012,11,33.8019999,81.96800019999999,43.762,91.24000000000001,250.77200009999999
MAC000376,2012,12,60.6979998,99.6019999,53.806,112.02999999999999,326.1359997
MAC000376,2013,1,81.22,91.128,48.623999999999995,129.119,350.091
MAC000376,2013,2,89.9479999,98.3719999,38.811,97.844,324.9749998
MAC000376,2013,3,119.42699999999999,116.8179998,44.102999999999994,134.732,415.0799998
MAC000376,2013,4,98.5390002,57.6979998,49.459999999999994,101.51800000000003,307.21500000000003
MAC000376,2013,5,76.9890001,46.873999999999995,51.22,76.301,251.3840001
MAC000376,2013,6,65.7,61.575000100000004,49.065,67.15500000000002,243.4950001
MAC000376,2013,7,61.147999999999996,43.6640002,52.001999999999995,77.605,234.4190002
MAC000376,2013,8,63.662999899999996,44.53,44.887,77.971,231.0509999
MAC000376,2013,9,60.2520001,60.960000199999996,47.811999899999996,87.321,256.3450002
MAC000376,2013,10,39.696999899999994,75.3329998,49.667,86.098,250.7949997
MAC000376,2013,11,28.590999999999998,80.901,51.506,103.16100000000002,264.159
MAC000376,2013,12,28.593999999999998,88.4359999,55.709,113.07399999999998,285.81299989999997
MAC000376,2014,1,25.189,94.0350003,47.986,103.862,271.0720003
MAC000376,2014,2,63.9119995,126.8509999,64.7300002,143.4360001,398.92899969999996
MAC000378,2012,3,20.546999999999997,15.855,28.5079999,26.82,91.7299999
MAC000378,2012,4,52.41,24.325999999999997,47.1690001,45.16099989999999,169.066
MAC000378,2012,5,42.037999899999996,24.858,48.491,42.95300000000001,158.3399999
MAC000378,2012,6,39.532,23.028,37.7379999,46.385000000000005,146.6829999
MAC000378,2012,7,46.983,26.49,50.0119999,47.578,171.0629999
MAC000378,2012,8,44.129,20.645,34.9,48.22400000000001,147.898
MAC000378,2012,9,30.642999999999997,18.144999999999996,39.637,46.07099999999999,134.49599999999998
MAC000378,2012,10,48.989,26.145000099999997,60.506,50.757000000000005,186.39700009999999
MAC000378,2012,11,37.88399999999999,25.644,48.341,52.242999999999995,164.112
MAC000378,2012,12,40.718999999999994,26.2499999,41.394,52.06399999999999,160.4269999
MAC000378,2013,1,38.580999999999996,31.697999999999997,49.1429999,52.49000000000001,171.9119999
MAC000378,2013,2,36.3039999,28.142999999999997,52.333999999999996,46.489999999999995,163.2709999
MAC000378,2013,3,39.437999999999995,24.895,48.658,50.961,163.952
MAC000378,2013,4,36.861,26.048,45.9509999,40.684000000000005,149.5439999
MAC000378,2013,5,37.68899999999999,19.886999999999997,45.16,38.422,141.158
MAC000378,2013,6,34.778999999999996,27.042,36.639,38.745000000000005,137.205
MAC000378,2013,7,31.442999999999994,19.787999999999997,20.180999999999997,38.628,110.03999999999999
MAC000378,2013,8,35.717999999999996,23.404999999999998,30.039999999999996,45.258,134.421
MAC000378,2013,9,33.455999999999996,24.932,40.801,36.31,135.499
MAC000378,2013,10,40.145999999999994,24.618,50.427,41.428,156.61899999999997
MAC000378,2013,11,40.88099999999999,22.237,47.506,55.703,166.327
MAC000378,2013,12,53.747999799999995,34.891,53.2399999,58.86699999999999,200.74599969999997
MAC000378,2014,1,47.446999899999994,34.4410002,53.485,54.248999999999995,189.62200009999998
MAC000378,2014,2,45.333,16.369999999999997,37.379,47.748999999999995,146.831
MAC000774,2012,4,13.556,20.724999999999998,22.7250001,21.698,78.7040001
MAC000774,2012,5,53.641,60.8120001,83.9979998,74.81899999999999,273.26999989999996
MAC000774,2012,6,51.249000099999996,71.9770001,70.094,65.39199999999998,258.7120002
MAC000774,2012,7,38.9539999,28.378000099999998,39.694000100000004,49.728999999999985,156.7550001
MAC000774,2012,8,31.019,34.3210001,28.987999999999996,48.657999999999994,142.98600009999998
MAC000774,2012,9,51.044999999999995,71.8659997,69.25599989999999,71.08,263.2469996
MAC000774,2012,10,44.089999999999996,66.5849999,77.1829999,68.33300009999999,256.1909999
MAC000774,2012,11,32.879,74.1750006,85.92199980000001,75.30299989999999,268.2790003
MAC000774,2012,12,45.9879999,63.6499999,76.8410002,79.77899990000002,266.2579999
MAC000774,2013,1,33.906,70.63399989999999,53.5460001,82.28699989999998,240.3729999
MAC000774,2013,2,34.626,70.6359996,64.5439999,71.00999989999998,240.81599939999998
MAC000774,2013,3,33.45099999999999,63.004,76.935,85.4370001,258.8270001
MAC000774,2013,4,38.553999999999995,61.9179999,63.8120001,55.824999999999996,220.10899999999998
MAC000774,2013,5,39.733,62.866000199999995,54.006000099999994,57.299000100000015,213.9040004
MAC000774,2013,6,40.559,60.353999900000005,60.0749998,63.90400000000001,224.8919997
MAC000774,2013,7,48.38399999999999,46.5630002,69.8660001,87.54599999999999,252.3590003
MAC000774,2013,8,48.128,65.0300001,66.261,93.2050001,272.6240002
MAC000774,2013,9,44.214999999999996,69.1570001,69.3200001,76.907,259.5990002
MAC000774,2013,10,42.921,62.404,67.3510001,67.261,239.93700009999998
MAC000774,2013,11,22.221999999999994,46.6390001,46.502000100000004,62.8069999,178.1700001
MAC000777,2012,4,10.469999999999999,5.767999999999999,13.732,8.428999999999997,38.398999999999994
MAC000777,2012,5,39.943,17.017,23.314999999999998,36.751,117.026
MAC000777,2012,6,15.816999999999998,9.545999999999998,11.764999999999997,16.182999999999996,53.31099999999999
MAC000777,2012,7,19.791,13.579999999999998,14.242999999999997,23.438,71.05199999999999
MAC000777,2012,8,24.384999999999998,14.797999999999998,14.807999999999998,25.448999999999998,79.44
MAC000777,2012,9,18.284,10.386,14.290999999999997,17.360999999999997,60.321999999999996
MAC000777,2012,10,24.034,18.909,24.29,24.946,92.179
MAC000777,2012,11,54.799,25.144,61.201,44.04200000000001,185.186
MAC000777,2012,12,63.092000299999995,48.514,74.07300000000001,63.41600000000001,249.0950003
MAC000777,2013,1,63.983,53.919,74.643,54.879000000000005,247.424
MAC000777,2013,2,67.596,46.7749999,74.91399990000001,65.338,254.6229998
MAC000777,2013,3,69.2160001,53.409,67.064,67.89,257.5790001
