LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC002357,2012,4,2.0660000000000003,2.433,6.32,6.017999999999994,16.836999999999993
MAC002357,2012,5,23.346999999999998,25.47,45.6219999,59.628,154.06699989999998
MAC002357,2012,6,24.891999999999996,28.826000099999998,47.090999999999994,66.251,167.0600001
MAC002357,2012,7,25.006999999999998,27.381999999999998,44.948,68.12799999999999,165.46499999999997
MAC002357,2012,8,25.417999999999996,29.409,48.57,70.279,173.676
MAC002357,2012,9,25.030999999999995,25.665999999999997,47.5669999,74.524,172.7879999
MAC002357,2012,10,25.015999999999995,27.761999999999997,48.403,73.851,175.03199999999998
MAC002357,2012,11,25.366999999999994,22.350999999999996,44.705999899999995,72.94500000000001,165.3689999
MAC002357,2012,12,23.577999999999996,17.04,44.7809999,79.11399999999999,164.51299989999998
MAC002357,2013,1,24.007999999999996,16.759999999999998,71.69500029999999,159.0180001,271.48100039999997
MAC002357,2013,2,25.058999999999997,13.319999999999999,92.387,208.89799989999995,339.6639998999999
MAC002357,2013,3,24.695,19.177999999999997,91.014,206.13299980000002,341.0199998
MAC002357,2013,4,21.89,23.7360001,54.2619999,83.52899989999999,183.41699989999998
MAC002357,2013,5,22.351,23.828,47.585,59.86899999999998,153.63299999999998
MAC002357,2013,6,15.554999999999998,21.197999999999997,46.831,53.128999999999984,136.713
MAC002357,2013,7,15.29,19.621,49.515,51.728999999999985,136.15499999999997
MAC002357,2013,8,16.355999999999998,23.484999999999996,45.553999999999995,56.949,142.344
MAC002357,2013,9,12.702999999999998,22.531,42.909,57.873,136.016
MAC002357,2013,10,11.537999999999997,21.421999999999997,51.058,64.23599999999998,148.25399999999996
MAC002357,2013,11,11.556999999999999,13.316999999999998,45.9059999,67.53999999999996,138.31999989999997
MAC002357,2013,12,13.748999999999997,12.059999999999997,58.898,96.85600009999996,181.56300009999995
MAC002357,2014,1,12.197999999999999,10.111999999999997,50.424,77.42299999999999,150.15699999999998
MAC002357,2014,2,11.428999999999998,9.057999999999998,37.354,59.14799999999997,116.98899999999996
MAC002743,2012,5,42.039,24.816,28.311999999999998,77.09799980000001,172.2649998
MAC002743,2012,6,53.92400009999999,40.7249999,44.971999999999994,93.4570001,233.0780001
MAC002743,2012,7,65.90199989999999,36.19,41.102,84.968,228.16199989999998
MAC002743,2012,8,63.55,39.189,44.1710001,154.8070006,301.71700069999997
MAC002743,2012,9,63.619999899999996,42.738,47.522,109.7279998,263.6079997
MAC002743,2012,10,59.202,53.1899999,61.709,110.25500009999999,284.356
MAC002743,2012,11,63.741,48.444000100000004,63.031,94.41999999999999,269.6360001
MAC002743,2012,12,75.817,54.915999899999996,65.373,115.51,311.6159999
MAC002743,2013,1,59.656,45.302,64.423,116.6339999,286.01499989999996
MAC002743,2013,2,75.4790003,49.330999999999996,52.7530001,98.21800010000001,275.7810005
MAC002743,2013,3,69.8679999,39.357,57.254999999999995,95.655,262.13499989999997
MAC002743,2013,4,71.71599979999999,45.589999999999996,56.9,153.7699997,327.9759995
MAC002743,2013,5,64.365,41.776999999999994,48.9180001,128.74199990000002,283.802
MAC002743,2013,6,59.223,41.717999999999996,44.501,100.437,245.879
MAC002743,2013,7,62.824999999999996,44.799,44.61599999999999,112.49799999999999,264.738
MAC002743,2013,8,62.516,41.522,46.152,112.714,262.904
MAC002743,2013,9,63.557,40.062999999999995,54.131,122.7149999,280.4659999
MAC002743,2013,10,73.8,50.623,56.256,132.7039999,313.3829999
MAC002743,2013,11,85.80600030000001,61.8829998,60.046,112.53899999999997,320.27400009999997
MAC002743,2013,12,91.02,66.1360001,77.486,170.2420001,404.8840002
MAC002743,2014,1,62.245,48.538,57.839999999999996,114.04499999999999,282.66799999999995
MAC002743,2014,2,63.888999999999996,39.565,51.005,118.5060002,272.9650002
MAC002747,2012,5,59.318,30.695999999999998,47.496000099999996,64.92000000000002,202.4300001
MAC002747,2012,6,88.788,65.957,73.0849998,97.01200000000001,324.8419998
MAC002747,2012,7,86.56700000000001,47.629,58.8690001,91.903,284.9680001
MAC002747,2012,8,101.1879999,58.022999999999996,74.916,83.111,317.2379999
MAC002747,2012,9,88.6580002,44.242999999999995,57.496,81.6979999,272.0950001
MAC002747,2012,10,79.916,44.652,73.0040001,76.856,274.42800009999996
MAC002747,2012,11,8.775999999999998,10.615999999999998,10.449999999999998,15.895999999999999,45.73799999999999
MAC002747,2012,12,7.042999999999997,4.032999999999999,5.2799999999999985,10.341999999999999,26.697999999999993
MAC002747,2013,1,5.827999999999999,4.079999999999999,3.4529999999999985,8.798000000000002,22.159
MAC002747,2013,2,7.577,4.533999999999999,4.355999999999998,10.932,27.399
MAC002747,2013,3,36.368,27.4499998,35.344,50.084999999999994,149.2469998
MAC002747,2013,4,82.825,81.123,102.99900000000001,76.88099989999999,343.8279999
MAC002747,2013,5,89.13399989999999,64.62199989999999,92.2909999,81.753,327.7999997
MAC002747,2013,6,68.92999999999999,59.6709998,102.5300001,86.02799999999999,317.15899989999997
MAC002747,2013,7,76.0669999,53.695000099999994,81.1639999,85.78200000000001,296.7079999
MAC002747,2013,8,64.42999999999999,42.940999999999995,57.6610001,76.627,241.6590001
MAC002747,2013,9,47.589,34.435000099999996,55.967999999999996,58.708999999999996,196.7010001
MAC002747,2013,10,101.09100000000001,97.90900020000001,142.26299980000002,75.35600010000002,416.6190001
MAC002747,2013,11,92.698,89.5540002,117.3959999,84.53099999999999,384.1790001
MAC002747,2013,12,91.722,107.6920001,110.8249998,116.6060001,426.845
MAC002747,2014,1,64.422,89.3970003,90.7049999,106.81600010000001,351.3400003
MAC002747,2014,2,77.661,76.3880001,74.1600001,87.203,315.41200019999997
MAC002771,2012,5,25.822999999999997,14.080999999999996,17.854999999999997,51.913,109.67199999999998
MAC002771,2012,6,42.861999999999995,24.380999999999997,33.352999999999994,69.179,169.775
MAC002771,2012,7,29.80899999999999,20.178999999999995,22.491999999999997,57.720000000000006,130.2
MAC002771,2012,8,44.48899999999999,17.949999999999996,20.470999999999997,62.94700000000001,145.857
MAC002771,2012,9,25.939999999999994,16.945999999999998,20.176999999999996,39.18099999999999,102.24399999999999
MAC002771,2012,10,16.048999999999996,10.490999999999998,9.498999999999997,22.505999999999986,58.54499999999998
MAC002771,2012,11,0.0,0.0,0.0,0.0,0.0
MAC002771,2012,12,0.0,0.002,0.0,0.0,0.002
MAC002771,2013,1,0.0,0.0,0.0,0.0,0.0
MAC002771,2013,2,20.508999999999997,13.388999999999998,16.33,28.837000000000003,79.065
MAC002771,2013,3,23.057,17.166999999999998,17.380999999999997,37.291,94.896
MAC002771,2013,4,22.558999999999997,14.466,14.836999999999998,32.426,84.288
MAC002771,2013,5,18.478,11.612999999999998,11.672999999999998,26.998000000000005,68.762
MAC002771,2013,6,19.006000000000004,12.172999999999998,12.213,28.240000000000013,71.63200000000002
MAC002771,2013,7,22.944000000000003,14.466999999999999,15.921,33.56299999999999,86.895
MAC002771,2013,8,27.979999999999997,17.560999999999996,17.253999999999998,40.011,102.806
MAC002771,2013,9,25.889999999999997,16.273999999999997,18.441999999999997,38.413000000000004,99.019
MAC002771,2013,10,29.313999999999997,18.389999999999997,20.377999999999997,41.342,109.42399999999999
MAC002771,2013,11,20.776999999999997,14.863999999999999,14.435999999999996,34.139,84.216
MAC002771,2013,12,22.055999999999997,13.559999999999997,17.255,36.352,89.22299999999998
MAC002771,2014,1,12.989999999999997,8.996999999999998,10.542999999999997,19.855999999999995,52.38599999999999
MAC002771,2014,2,5.847999999999998,3.666999999999999,3.594999999999999,8.550000000000004,21.66
MAC002773,2012,5,32.361999999999995,12.880999999999998,13.37,23.116000000000007,81.729
MAC002773,2012,6,39.0440001,20.345,17.471999999999998,23.976000000000003,100.8370001
MAC002773,2012,7,49.7929999,22.162999999999997,23.429999999999996,36.732000000000006,132.1179999
MAC002773,2012,8,52.269999899999995,20.927999999999997,22.737999999999996,36.73599999999999,132.67199989999997
MAC002773,2012,9,39.571999999999996,21.299999999999997,27.377999999999997,38.007999999999996,126.25799999999998
MAC002773,2012,10,46.45099999999999,28.136999999999997,43.338,35.33599999999999,153.262
MAC002773,2012,11,52.650999999999996,31.363999999999997,48.330999999999996,32.01800000000001,164.364
MAC002773,2012,12,63.765,41.185,52.909,36.724,194.583
MAC002773,2013,1,62.665,45.095,59.555,45.461,212.77599999999998
MAC002773,2013,2,47.517999999999994,38.921,46.855,41.89300000000001,175.18699999999998
MAC002773,2013,3,44.29,32.208999999999996,43.285,50.506000000000014,170.29
MAC002773,2013,4,20.717999999999996,10.747999999999996,12.035999999999994,16.755999999999997,60.25799999999998
MAC002773,2013,5,0.0,0.0,0.0,0.0,0.0
MAC002775,2012,5,51.222,46.873,33.358999999999995,67.048,198.50199999999998
MAC002775,2012,6,67.743,63.397,46.497,92.796,270.433
MAC002775,2012,7,68.648,69.2119999,51.452999999999996,92.758,282.0709999
MAC002775,2012,8,77.831,64.837,45.053,87.214,274.935
MAC002775,2012,9,65.883,52.573,46.692,82.31299999999999,247.46099999999998
MAC002775,2012,10,77.368,60.957,45.768,84.944,269.037
MAC002775,2012,11,61.62900009999999,59.315999999999995,48.315,83.46600000000001,252.7260001
MAC002775,2012,12,63.714999999999996,60.224,50.172,88.50899999999999,262.62
MAC002775,2013,1,65.8109999,68.0260001,57.873,95.809,287.519
MAC002775,2013,2,69.27499999999999,82.0809999,58.3289999,99.588,309.2729998
MAC002775,2013,3,68.55499999999999,65.879,58.699999999999996,99.302,292.436
MAC002775,2013,4,76.862,68.684,40.166999999999994,77.27000000000001,262.983
MAC002775,2013,5,79.489,63.837,37.525999999999996,76.143,256.995
MAC002775,2013,6,72.793,60.119,41.579,79.6249999,254.1159999
MAC002775,2013,7,77.91,67.779,42.815999999999995,86.77100000000002,275.276
MAC002775,2013,8,73.439,58.476,41.937,82.07199999999999,255.92399999999998
MAC002775,2013,9,81.74,62.33,48.923,87.32499999999999,280.318
MAC002775,2013,10,71.04599999999999,65.436,41.748,80.807,259.037
MAC002775,2013,11,63.339,62.768,50.699999999999996,89.173,265.97999999999996
MAC002775,2013,12,91.88100010000001,94.0370005,71.2990001,107.20199990000003,364.4190006
MAC002775,2014,1,65.105,67.732,62.6309999,94.173,289.6409999
MAC002775,2014,2,63.482,64.739,53.879,82.89099999999999,264.991
MAC002781,2012,5,15.384,9.220999999999998,12.100999999999997,20.033999999999992,56.73999999999999
MAC002781,2012,6,30.912,18.798,21.923999999999996,35.96900000000001,107.603
MAC002781,2012,7,33.027,18.970999999999997,25.694999999999997,43.96900000000001,121.662
MAC002781,2012,8,45.247999899999996,22.401999999999997,26.97,46.305,140.9249999
MAC002781,2012,9,53.238,20.455999999999996,29.483999999999998,41.354000100000015,144.5320001
MAC002781,2012,10,53.95999989999999,23.4110001,34.093999999999994,45.341000099999995,156.80600009999998
MAC002781,2012,11,52.2119998,19.162,28.429999999999996,42.942,142.7459998
MAC002781,2012,12,48.6069999,22.261,29.924999999999997,44.29,145.0829999
MAC002781,2013,1,37.473,20.523999999999997,29.300999999999995,42.348,129.646
MAC002781,2013,2,31.915999999999997,15.799999999999997,25.141,35.178,108.035
MAC002781,2013,3,26.514999999999997,17.385999999999996,26.319999999999997,38.88699999999999,109.10799999999999
MAC002781,2013,4,29.453,16.538999999999998,21.4,32.891,100.283
MAC002781,2013,5,30.026,16.647,20.095999999999997,33.11599999999999,99.88499999999999
MAC002781,2013,6,28.83,18.529999999999998,24.560999999999996,35.052,106.973
MAC002781,2013,7,35.708999999999996,20.302999999999997,24.147999999999996,39.79400000000001,119.95400000000001
MAC002781,2013,8,30.392,22.349999999999998,23.773999999999997,37.08400000000001,113.60000000000001
MAC002781,2013,9,30.212999999999997,17.940999999999995,22.829999999999995,36.43,107.41399999999999
MAC002781,2013,10,33.62799999999999,23.24,25.441999999999997,37.17400000000001,119.48400000000001
MAC002781,2013,11,26.679999999999996,17.608999999999998,21.651999999999997,36.65800000000001,102.599
MAC002781,2013,12,28.455999999999996,14.791999999999996,22.161999999999995,38.571999999999996,103.98199999999999
MAC002781,2014,1,27.987,17.669999999999998,24.166999999999998,36.403,106.22699999999999
MAC002781,2014,2,26.608,18.067999999999998,22.914999999999996,35.324999999999996,102.916
MAC002793,2012,5,61.538999999999994,44.406,58.5,66.687,231.13199999999998
MAC002793,2012,6,86.1850001,55.48,79.889,73.05099999999999,294.6050001
MAC002793,2012,7,95.1480001,71.58,75.537,100.53399999999998,342.7990001
MAC002793,2012,8,95.434,66.482,74.98,123.363,360.25899999999996
MAC002793,2012,9,95.36699999999999,56.503,74.5120001,85.05499999999998,311.4370001
MAC002793,2012,10,99.5810001,60.463,82.1699999,87.10099999999997,329.315
MAC002793,2012,11,77.133,60.4929999,79.298,87.67000000000002,304.5939999
MAC002793,2012,12,83.8269999,68.045,74.927,89.52000000000001,316.3189999
MAC002793,2013,1,67.697,63.805,90.9970002,109.306,331.8050002
MAC002793,2013,2,83.725,59.428999999999995,86.402,95.929,325.485
MAC002793,2013,3,91.2449999,71.8170001,91.5250001,99.99800009999998,354.58500019999997
MAC002793,2013,4,94.603,63.823,84.893,85.68800000000003,329.007
MAC002793,2013,5,89.482,63.0,85.383,84.82699999999997,322.69199999999995
