LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000004,2012,5,9.186,5.715,6.467,13.251999999999997,34.62
MAC000004,2012,6,13.271999999999998,6.944999999999999,7.768999999999999,17.174,45.16
MAC000004,2012,7,12.626999999999999,8.213999999999999,6.932999999999999,18.019999999999996,45.794
MAC000004,2012,8,13.067999999999998,7.796999999999999,7.655999999999999,18.712999999999997,47.233999999999995
MAC000004,2012,9,13.328,6.95,8.992999999999999,17.632999999999996,46.903999999999996
MAC000004,2012,10,19.087,10.834,10.052,20.859999999999996,60.833
MAC000004,2012,11,15.344,10.447999999999999,8.014,21.726999999999997,55.532999999999994
MAC000004,2012,12,18.811000099999998,9.027999999999999,10.223999999999998,24.065999999999995,62.12900009999999
MAC000004,2013,1,15.412999999999998,9.326999999999998,9.073999999999998,21.975999999999996,55.78999999999999
MAC000004,2013,2,19.383,8.722,8.604999999999999,20.264999999999993,56.974999999999994
MAC000004,2013,3,17.139,9.331999999999999,8.464999999999998,24.252999999999993,59.18899999999999
MAC000004,2013,4,13.741999999999999,8.221999999999998,8.014999999999999,20.450999999999997,50.42999999999999
MAC000004,2013,5,13.033999999999999,8.607,7.1339999999999995,19.467,48.242
MAC000004,2013,6,14.311999999999998,8.495,9.495,19.576999999999995,51.87899999999999
MAC000004,2013,7,11.825999999999999,7.595999999999999,7.159999999999998,16.691999999999997,43.273999999999994
MAC000004,2013,8,12.127999999999998,7.5779999999999985,7.574999999999999,18.081,45.361999999999995
MAC000004,2013,9,12.550999999999998,8.096999999999998,7.810999999999999,19.141,47.599999999999994
MAC000004,2013,10,13.645,8.6,8.435999999999998,20.715999999999998,51.39699999999999
MAC000004,2013,11,13.047999999999996,9.255999999999998,8.690999999999999,20.729999999999997,51.724999999999994
MAC000004,2013,12,14.489999999999998,8.995999999999999,9.096999999999998,22.080999999999996,54.663999999999994
MAC000004,2014,1,14.928999999999998,8.662999999999998,9.174999999999999,21.336999999999996,54.104
MAC000004,2014,2,12.565999999999999,7.658999999999999,8.158999999999999,18.516,46.89999999999999
MAC000438,2012,3,8.693999999999999,7.428999999999999,7.682999999999999,23.911,47.717
MAC000438,2012,4,30.90299999999999,17.613999999999997,17.293999999999997,46.266999999999996,112.07799999999999
MAC000438,2012,5,36.611,26.727999999999994,22.857999999999997,84.51800000000001,170.715
MAC000438,2012,6,30.449999999999996,20.729,21.816,50.41199999999999,123.407
MAC000438,2012,7,35.791,23.480999999999995,20.983999999999998,64.97800000000002,145.234
MAC000438,2012,8,41.611,27.934999999999995,23.102999999999998,76.45700000000001,169.10600000000002
MAC000438,2012,9,40.907,28.365999999999996,25.08,86.04100000000001,180.394
MAC000438,2012,10,34.409,22.186999999999998,22.806999999999995,73.503,152.906
MAC000438,2012,11,29.584,22.551,18.043999999999997,62.803,132.982
MAC000438,2012,12,23.607,24.3059999,24.0,65.35999999999999,137.27299989999997
MAC000438,2013,1,29.7390001,21.811999999999998,22.663999999999998,72.08300000000001,146.2980001
MAC000438,2013,2,23.902,19.996999999999996,21.625000099999998,66.9609999,132.48499999999999
MAC000438,2013,3,30.055999999999997,24.177,19.557,68.40299999999999,142.19299999999998
MAC000438,2013,4,33.68,23.924,29.197999999999997,51.81299990000001,138.6149999
MAC000438,2013,5,24.330999999999996,13.840999999999998,20.949999899999998,43.485000099999986,102.60699999999999
MAC000438,2013,6,25.346999999999998,18.531,17.812999999999995,41.32899999999999,103.02
MAC000438,2013,7,32.888999999999996,24.500999999999998,26.854,61.40700000000001,145.651
MAC000438,2013,8,36.144999999999996,22.820999999999998,27.979999999999997,64.10500000000002,151.05100000000002
MAC000438,2013,9,31.248999999999995,20.890999999999995,36.184,53.734,142.058
MAC000438,2013,10,19.944,10.626999999999999,10.290999999999999,20.950999999999993,61.812999999999995
MAC000438,2013,11,3.1929999999999983,3.490999999999999,5.252999999999999,4.7170000000000005,16.653999999999996
MAC000443,2012,3,74.8399998,60.2970001,97.6059992,63.31099989999999,296.053999
MAC000443,2012,4,300.7870006,281.6699998,328.9729991,217.29800009999997,1128.7279996
MAC000443,2012,5,228.3969995,182.1179996,229.8030009,176.0320003,816.3500003
MAC000443,2012,6,204.232,200.7669998,210.231,127.06000009999997,742.2899999
MAC000443,2012,7,295.2769994,247.628,209.314,190.3539999,942.5729993
MAC000443,2012,8,301.5770002,204.1390002,181.0009998,190.71599989999999,877.4330001
MAC000443,2012,9,296.7419992,205.5819994,164.9979999,196.4549999,863.7769984
MAC000443,2012,10,394.00900029999997,293.244002,242.2210001,235.62400000000005,1165.0980024
MAC000443,2012,11,281.4759996,228.2759997,187.3880002,267.55800030000006,964.6979998
MAC000443,2012,12,366.9600004,295.918,281.1340002,339.14199979999995,1283.1540004
MAC000443,2013,1,375.70599949999996,312.2560007,283.4239995,343.8220004,1315.2080001
MAC000443,2013,2,271.4399996,180.57599969999998,167.6369997,258.63499970000004,878.2879987
MAC000443,2013,3,396.2060002,318.12,291.7689989,344.7170003,1350.8119994
MAC000443,2013,4,393.00599930000004,252.3889998,255.5790006,260.7589999,1161.7329996
MAC000443,2013,5,387.8519993,267.476001,210.9799998,218.14500019999997,1084.4530003
MAC000443,2013,6,408.2060003,269.3579998,199.7520008,210.05199990000003,1087.3680008000001
MAC000443,2013,7,272.0980003,170.1249999,148.1759999,139.277,729.6760001
MAC000443,2013,8,205.6909994,158.3060007,161.239,93.2630003,618.4990004
MAC000443,2013,9,339.6130008,230.6549995,200.5550002,171.13499969999995,941.9580002
MAC000443,2013,10,389.1210009,242.4099999,186.89399980000002,207.5910001,1026.0160007
MAC000443,2013,11,370.2319988,283.5250001,209.2529994,272.9260002,1135.9359985
MAC000443,2013,12,288.6,244.7599998,246.644,325.83899959999997,1105.8429994
MAC000443,2014,1,248.3759997,212.46099949999999,204.0269999,310.14799999999997,975.0119991
MAC000443,2014,2,274.3009996,200.0059999,223.94099970000002,291.774,990.0219992
MAC000444,2012,3,13.358,11.306999999999999,10.607,14.523000000000001,49.795
MAC000444,2012,4,59.053,33.833999999999996,40.72,52.002,185.609
MAC000444,2012,5,54.367999999999995,26.296999999999997,36.138,55.693000000000005,172.49599999999998
MAC000444,2012,6,51.471,31.493,37.678999999999995,58.27700000000001,178.92000000000002
MAC000444,2012,7,51.918,38.190999999999995,37.626,55.492999999999995,183.22799999999998
MAC000444,2012,8,65.93,41.824999999999996,42.338,63.51400000000001,213.607
MAC000444,2012,9,50.0139999,30.488999999999997,41.263,51.611999999999995,173.3779999
MAC000444,2012,10,52.367999999999995,30.782,44.888999999999996,54.696000000000005,182.73499999999999
MAC000444,2012,11,45.507999999999996,30.022,45.107,53.557,174.194
MAC000444,2012,12,63.214,33.667,49.08,59.84500000000001,205.806
MAC000444,2013,1,47.088,33.867,44.818,58.201,183.974
MAC000444,2013,2,47.81,32.382,44.37,52.53299999999998,177.09499999999997
MAC000444,2013,3,51.011,41.998999999999995,54.586999999999996,66.60300000000001,214.2
MAC000444,2013,4,51.561,33.583999899999995,39.735,50.18000000000001,175.0599999
MAC000444,2013,5,47.839999999999996,32.135999999999996,38.997,51.078,170.051
MAC000444,2013,6,43.375,25.461999999999996,34.324,54.174,157.33499999999998
MAC000444,2013,7,44.455999999999996,28.746999999999996,31.723,50.36900000000001,155.295
MAC000444,2013,8,52.535,31.869999999999997,40.074999999999996,62.141,186.62099999999998
MAC000444,2013,9,47.95399999999999,32.871,38.125,55.53,174.48
MAC000444,2013,10,53.989,34.801,41.836999999999996,59.053999999999995,189.68099999999998
MAC000444,2013,11,49.763999999999996,39.693999999999996,46.966,61.34400000000001,197.768
MAC000444,2013,12,49.489,40.897,52.259,65.72800000000001,208.373
MAC000444,2014,1,52.647,37.455,58.146,70.691,218.939
MAC000444,2014,2,47.174,34.847,43.37,51.232,176.623
MAC000448,2012,3,10.572,4.782,15.219000199999998,10.312999999999999,40.8860002
MAC000448,2012,4,43.664,21.502,42.587999999999994,31.847999999999992,139.60199999999998
MAC000448,2012,5,34.224999999999994,16.2,37.12,32.38699999999999,119.93199999999999
MAC000448,2012,6,41.3819999,23.455999999999996,38.4760001,34.41599999999998,137.73
MAC000448,2012,7,47.171,28.06,51.432,37.568999999999996,164.232
MAC000448,2012,8,28.906999999999996,16.741999999999997,37.073,35.71599999999999,118.43799999999997
MAC000448,2012,9,30.194999999999997,16.605,33.2319999,29.834999999999983,109.86699989999998
MAC000448,2012,10,36.199999999999996,19.573999999999998,53.04,34.32799999999999,143.142
MAC000448,2012,11,26.503999999999998,14.467999999999998,20.863000099999997,30.290999999999986,92.12600009999998
MAC000448,2012,12,41.233,27.886,35.801,38.95999999999998,143.87999999999997
MAC000448,2013,1,48.406,30.8350001,48.2370001,47.555999899999996,175.0340001
MAC000448,2013,2,39.765,25.8630001,43.81,37.44099999999999,146.87900009999998
MAC000448,2013,3,39.23799999999999,20.673,48.2320002,39.18199999999999,147.32500019999998
MAC000448,2013,4,38.797999999999995,21.000999999999998,41.3739999,33.66599999999999,134.83899989999998
MAC000448,2013,5,30.709999999999997,15.476999999999999,38.413,31.78099999999998,116.38099999999999
MAC000448,2013,6,34.519999999999996,20.296,39.415,31.31899999999999,125.54999999999998
MAC000448,2013,7,35.99999999999999,25.836,31.644,39.334,132.814
MAC000448,2013,8,41.114999999999995,18.311999999999998,38.652,37.55099999999999,135.63
MAC000448,2013,9,28.527999999999995,16.521,34.531,31.18599999999999,110.76599999999999
MAC000448,2013,10,35.19,20.362,40.397,34.053,130.00199999999998
MAC000448,2013,11,36.144999999999996,15.904999999999998,33.958,36.35199999999999,122.35999999999999
MAC000448,2013,12,20.662999999999997,14.259999999999998,18.351,22.709999999999987,75.98399999999998
MAC000448,2014,1,42.086999999999996,25.267999999999997,45.0759999,39.925999999999995,152.3569999
MAC000448,2014,2,33.47,19.351,39.652,36.80899999999999,129.28199999999998
MAC000516,2012,3,6.591999999999999,4.034,5.302,7.379000000000001,23.307
MAC000516,2012,4,38.66499999999999,29.439999999999998,33.549,48.89500000000002,150.549
MAC000516,2012,5,68.261,49.635,64.1830001,70.004,252.0830001
MAC000516,2012,6,70.75899989999999,44.538,63.947,74.81700000000001,254.06099989999998
MAC000516,2012,7,63.799,41.429,60.565,66.854,232.647
MAC000516,2012,8,53.625,33.394999999999996,43.458,68.40300000000002,198.881
MAC000516,2012,9,58.395,36.68599999999999,63.083,66.399,224.563
MAC000516,2012,10,72.824,56.349,79.1709999,78.23599999999998,286.57999989999996
MAC000516,2012,11,67.662,50.854,69.02999989999999,84.2,271.7459999
MAC000516,2012,12,69.593,62.980999999999995,70.102,85.68299999999999,288.359
MAC000516,2013,1,79.18299999999999,61.259,80.895,99.8579999,321.19499989999997
MAC000516,2013,2,62.644999999999996,62.207,58.964999899999995,79.2649999,263.0819998
MAC000516,2013,3,71.62,58.0339999,68.8669999,95.54500000000002,294.0659998
MAC000516,2013,4,54.657,43.94499999999999,39.777,68.21600000000001,206.595
MAC000516,2013,5,77.087,48.61,71.699,87.83500000000001,285.231
MAC000516,2013,6,76.758,39.699,64.071,80.045,260.573
MAC000516,2013,7,87.013,53.589,64.012,81.78999999999996,286.40399999999994
MAC000516,2013,8,61.464,37.294999999999995,42.782999999999994,73.22500000000002,214.767
MAC000516,2013,9,63.733,44.91,65.0909999,56.8019999,230.53599979999998
MAC000516,2013,10,55.166,40.184,73.0439999,49.758000100000004,218.152
MAC000516,2013,11,43.590999999999994,39.989,47.223,54.58999999999999,185.39299999999997
MAC000516,2013,12,41.778,41.089999999999996,47.237000099999996,46.10799999999999,176.2130001
MAC000516,2014,1,60.4569999,55.292,77.96099989999999,75.573,269.28299979999997
MAC000516,2014,2,47.405,41.651999999999994,62.766,61.878000000000014,213.701
MAC000518,2012,3,6.567,2.812,6.256999999999999,5.144000000000001,20.779999999999998
MAC000518,2012,4,48.401999999999994,32.153999999999996,69.713,53.480999999999995,203.74999999999997
MAC000518,2012,5,44.202999999999996,33.82,59.805,58.58099999999999,196.409
MAC000518,2012,6,41.757,30.323999999999998,55.387,46.803999999999995,174.272
MAC000518,2012,7,43.80499999999999,30.302,48.054,48.690999999999995,170.852
MAC000518,2012,8,42.995,24.594999999999995,54.928,51.718,174.236
MAC000518,2012,9,42.86,20.836,59.539,45.84300000000001,169.078
MAC000518,2012,10,53.4210001,23.665,67.479,46.86200000000001,191.42700010000001
MAC000518,2012,11,57.172,32.101,72.225,61.954,223.452
MAC000518,2012,12,45.974999999999994,30.602999999999998,62.1930002,54.7130001,193.4840003
MAC000518,2013,1,63.019,41.305,83.456,70.40599990000001,258.1859999
MAC000518,2013,2,56.2530001,39.857,65.301,57.96700009999999,219.37800019999997
MAC000518,2013,3,59.0590001,27.845999999999997,53.4359999,53.49699999999999,193.838
MAC000518,2013,4,67.095,33.363,67.52,55.320000000000014,223.298
MAC000518,2013,5,72.1110001,45.98,74.2630001,64.576,256.9300002
MAC000518,2013,6,58.217,34.391999999999996,57.143,56.022000000000006,205.774
MAC000518,2013,7,49.67,29.951999999999998,53.49099999999999,59.67100000000001,192.784
MAC000518,2013,8,42.275,26.232,52.93,56.85699999999999,178.29399999999998
