LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000019,2011,12,35.474,35.6530001,38.4899999,39.013999999999996,148.631
MAC000019,2012,1,69.978,51.955999999999996,69.156,53.290000000000006,244.38
MAC000019,2012,2,54.95,41.765,58.975000099999995,51.58400000000001,207.2740001
MAC000019,2012,3,37.20099999999999,28.433999999999997,31.049999999999997,39.12299999999999,135.808
MAC000019,2012,4,60.3180001,37.849999999999994,43.400999999999996,44.422,185.99100009999998
MAC000019,2012,5,66.054,33.162,51.208,50.742999999999995,201.167
MAC000019,2012,6,46.278999999999996,25.636,34.98,43.089,149.98399999999998
MAC000019,2012,7,49.226,27.766,35.8250001,46.199000000000005,159.01600009999999
MAC000019,2012,8,51.842,30.567999999999998,34.041,47.62100000000001,164.072
MAC000019,2012,9,54.598,30.792999999999996,41.646,47.766999999999996,174.804
MAC000019,2012,10,52.2910001,30.575999999999997,37.366,47.962,168.1950001
MAC000019,2012,11,43.479,31.099,41.964,46.504000000000005,163.046
MAC000019,2012,12,51.074999999999996,45.391,44.878,56.223,197.56699999999998
MAC000019,2013,1,67.88,55.293,61.1369999,62.619000000000014,246.9289999
MAC000019,2013,2,52.988,47.528,55.961999999999996,51.518,207.99599999999998
MAC000019,2013,3,64.22100019999999,44.772,53.425999999999995,51.443,213.86200019999998
MAC000019,2013,4,60.979,32.893,42.400999999999996,46.085,182.358
MAC000019,2013,5,51.05,28.764999999999997,40.909,46.465999999999994,167.19
MAC000019,2013,6,55.235,29.433999999999997,39.848,48.407000000000004,172.924
MAC000019,2013,7,51.032,28.907999999999998,36.781,58.21600000000002,174.937
MAC000019,2013,8,63.577,35.339999999999996,45.411,57.138999999999996,201.46699999999998
MAC000019,2013,9,64.095,35.818,45.482,50.25500000000001,195.65
MAC000019,2013,10,52.881,36.006,45.269,53.34599999999999,187.50199999999998
MAC000019,2013,11,31.441,25.177999999999997,24.471999999999998,36.954,118.04499999999999
MAC000019,2013,12,63.7529999,55.7229999,58.132,63.007,240.6149998
MAC000019,2014,1,63.2,54.5530001,61.5330001,63.53999999999999,242.82600019999998
MAC000019,2014,2,52.813,44.605999999999995,50.876,54.54499999999999,202.83999999999997
MAC000055,2011,12,92.8339998,57.163,77.5010001,97.99099999999997,325.48899989999995
MAC000055,2012,1,109.4430002,81.907,115.839,138.9879999,446.1770001
MAC000055,2012,2,108.7519996,86.7429998,98.7980001,141.19999999999996,435.49299949999994
MAC000055,2012,3,117.0440002,54.864999999999995,87.457,133.6230001,392.9890003
MAC000055,2012,4,103.878,62.251999899999994,69.6060001,111.056,346.792
MAC000055,2012,5,95.8660002,56.612000099999996,78.97199979999999,128.513,359.9630001
MAC000055,2012,6,92.2630001,73.0159999,68.126,113.39399999999999,346.799
MAC000055,2012,7,88.145,57.028,70.70300019999999,110.97700009999996,326.85300029999996
MAC000055,2012,8,112.7269999,65.607,74.675,134.085,387.0939999
MAC000055,2012,9,80.4490001,43.015,55.9,101.59100000000002,280.9550001
MAC000055,2012,10,103.332,65.729,93.9830001,122.15100010000002,385.1950002
MAC000055,2012,11,108.5919999,72.0819998,100.674,137.248,418.5959997
MAC000055,2012,12,115.6319998,78.228,119.9039999,142.11999999999998,455.88399969999995
MAC000055,2013,1,118.10399989999999,82.3039999,112.4849998,138.10000000000002,450.9929996
MAC000055,2013,2,101.8979999,74.8759998,90.43,123.6710002,390.8749999
MAC000055,2013,3,114.1859999,79.7169999,94.0759999,139.3199998,427.2989995
MAC000055,2013,4,122.0449999,74.8009998,77.4389999,119.50699999999998,393.7919996
MAC000055,2013,5,111.8310001,76.247,79.398,123.224,390.7000001
MAC000055,2013,6,79.649,49.031,60.736,106.37799999999999,295.794
MAC000055,2013,7,93.041,58.431,66.684,124.238,342.394
MAC000055,2013,8,124.723,86.6859999,80.559,132.59900009999998,424.567
MAC000055,2013,9,82.2389999,47.802,61.724,99.315,291.07999989999996
MAC000055,2013,10,104.3119999,68.2169998,91.69800000000001,112.23599999999999,376.46299969999995
MAC000055,2013,11,95.524,80.48099979999999,101.367,118.02300000000002,395.3949998
MAC000055,2013,12,102.6099999,68.698,82.1169998,114.55699999999999,367.98199969999996
MAC000055,2014,1,99.6469998,90.1689999,108.52000029999999,127.74599999999998,426.082
MAC000055,2014,2,97.17099999999999,77.5500002,94.9090001,128.79500000000002,398.42500029999997
MAC000123,2011,12,47.426,33.522999999999996,41.276,33.63499999999999,155.85999999999999
MAC000123,2012,1,86.967,61.842,82.649,52.557,284.015
MAC000123,2012,2,81.047,53.879999999999995,61.846000000000004,45.29499999999999,242.06799999999998
MAC000123,2012,3,63.507999899999994,46.501,55.4389999,50.380999999999986,215.82899979999996
MAC000123,2012,4,67.622,55.681,47.571,47.699000000000005,218.573
MAC000123,2012,5,69.3549999,47.617999999999995,42.071999999999996,56.42700000000001,215.4719999
MAC000123,2012,6,66.0419999,44.361,39.538,55.287,205.2279999
MAC000123,2012,7,60.044,39.359,36.138,57.482,193.023
MAC000123,2012,8,61.187999999999995,42.590999999999994,37.114999999999995,59.26,200.154
MAC000123,2012,9,62.724,41.815,34.462999999999994,56.376000000000005,195.378
MAC000123,2012,10,65.594,54.507,49.135,60.538999999999994,229.77499999999998
MAC000123,2012,11,61.696,57.722,69.952,54.186,243.55599999999998
MAC000123,2012,12,75.2710002,65.911,75.593,58.379999999999995,275.15500019999996
MAC000123,2013,1,68.249,71.115,65.956,52.037000000000006,257.357
MAC000123,2013,2,63.472,62.339999999999996,58.976,45.69600000000001,230.484
MAC000123,2013,3,70.21,68.842,65.268,49.901,254.221
MAC000123,2013,4,62.842999999999996,55.461999999999996,40.806,50.041000000000004,209.152
MAC000123,2013,5,62.7920001,51.378,38.9,52.40200000000001,205.4720001
MAC000123,2013,6,55.824999899999995,41.25899999999999,35.928,52.62899999999999,185.6409999
MAC000123,2013,7,62.424,38.29,40.444,66.855,208.013
MAC000123,2013,8,57.989999999999995,34.451,36.226,64.40899999999999,193.076
