LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000323,2012,3,61.20399999999999,26.355999999999998,58.345999899999995,90.23500010000001,236.141
MAC000323,2012,4,104.2079999,76.3979999,142.5690004,148.2689999,471.4440001
MAC000323,2012,5,98.2680001,65.9650003,110.7559999,137.594,412.58300030000004
MAC000323,2012,6,99.43099980000001,57.9269999,105.4550002,159.161,421.97399989999997
MAC000323,2012,7,98.562,64.271,109.2229998,167.33100009999998,439.3869999
MAC000323,2012,8,96.186,78.9050001,107.59400000000001,182.3269999,465.012
MAC000323,2012,9,91.9160001,57.79,99.7090001,144.8840001,394.2990003
MAC000323,2012,10,143.883,77.811,171.1139999,181.0699998,573.8779997
MAC000323,2012,11,112.949,39.156,95.789,159.3419998,407.2359998
MAC000323,2012,12,191.426,132.3929999,239.8150005,287.5850004999999,851.2190009
MAC000323,2013,1,141.166,70.7160001,136.5549996,167.78100030000002,516.218
MAC000323,2013,2,97.384,68.0340002,115.0459999,135.422,415.8860001
MAC000323,2013,3,113.07700009999999,107.4440005,184.141,220.66600010000002,625.3280007000001
MAC000323,2013,4,97.616,68.2840001,141.5329997,186.2519998,493.6849996
MAC000323,2013,5,91.41799999999999,58.804,116.907,218.18799909999998,485.3169991
MAC000323,2013,6,84.30900009999999,66.03,96.8129998,133.8659998,381.01799969999996
MAC000323,2013,7,67.502,38.323,68.1919999,104.8639999,278.8809998
MAC000323,2013,8,77.8189999,53.879,111.4150004,133.361,376.4740003
MAC000323,2013,9,100.51500010000001,60.190999999999995,166.8569995,160.8269998,488.3899994
MAC000323,2013,10,154.0250001,90.2179998,192.1470007,189.8739999,626.2640005000001
MAC000323,2013,11,97.5290002,52.9630001,161.423,182.942,494.8570003
MAC000323,2013,12,113.1850002,53.1080001,164.157,123.911,454.3610003
MAC000323,2014,1,119.047,88.3320002,193.6839999,154.583,555.6460001
MAC000323,2014,2,78.188,78.6040002,134.7940001,149.871,441.4570003
MAC000379,2012,3,155.4280001,99.0930002,149.9940007,173.25999979999997,577.7750008
MAC000379,2012,4,255.0950002,174.14700009999999,241.7170004,257.44699990000004,928.4060006000001
MAC000379,2012,5,271.3490002,178.8899997,257.3369998,272.0520002,979.6279999000001
MAC000379,2012,6,261.85800009999997,186.6760004,248.8560006,277.7470002,975.1370013000001
MAC000379,2012,7,218.1519999,155.8409995,168.41600019999998,283.4109995999999,825.8199992
MAC000379,2012,8,282.94800000000004,187.3550002,235.2440002,331.77599999999995,1037.3230004
MAC000379,2012,9,303.65699970000003,198.0589996,283.0370004,333.2119998,1117.9649995
MAC000379,2012,10,249.6509994,174.9310003,260.8989996,310.65100029999996,996.1319996
MAC000379,2012,11,248.2359995,180.186,289.25399930000003,312.8929993,1030.5689981
MAC000379,2012,12,260.6179998,225.401,312.0990012,349.1769999,1147.2950009
MAC000379,2013,1,259.8149995,182.519,277.8890002,284.32699950000006,1004.5499992
MAC000379,2013,2,259.6069996,177.8129999,283.2329994,316.99299990000003,1037.6459988
MAC000379,2013,3,284.7769995,184.8710005,256.8769998,305.84600029999996,1032.3710001
MAC000379,2013,4,251.63899949999998,186.1000003,217.1620003,263.07299989999996,917.974
MAC000379,2013,5,299.133,193.9930002,266.9980004,298.7429996,1058.8670002
MAC000379,2013,6,249.2460004,159.3979999,238.1519999,286.21799989999994,933.0140001
MAC000379,2013,7,260.4280003,167.66800030000002,186.002,285.12699989999993,899.2250005
MAC000386,2012,3,55.3959999,19.558999999999997,46.631,46.174,167.7599999
MAC000386,2012,4,93.4519998,61.9150001,61.185000099999996,66.71099999999998,283.263
MAC000386,2012,5,77.8910001,43.5539999,55.178,67.093,243.71599999999998
MAC000386,2012,6,98.0880001,55.6889999,56.119000099999994,71.71299999999998,281.60900009999995
MAC000386,2012,7,81.5399998,56.2429999,52.07499979999999,67.07700000000001,256.9349995
MAC000386,2012,8,96.8289999,60.1560001,55.0340001,74.326,286.3450001
MAC000386,2012,9,77.0299998,47.9089999,46.440999999999995,59.967999999999975,231.34799969999997
MAC000386,2012,10,117.6850001,65.606,78.8829999,74.32099999999998,336.49499999999995
MAC000386,2012,11,123.923,47.266,102.878,86.90699999999998,360.974
MAC000386,2012,12,199.521,96.086,128.1789999,100.40700009999998,524.193
MAC000386,2013,1,175.1719998,67.538,106.9149999,92.77800000000002,442.4029997
MAC000386,2013,2,120.362,22.912,66.756,83.27700000000002,293.307
MAC000386,2013,3,116.069,30.555,71.20200009999999,72.75599999999999,290.58200009999996
MAC000386,2013,4,150.633,91.2160002,86.741,100.809,429.3990002
MAC000386,2013,5,118.271,77.9879998,80.22,68.34199999999998,344.8209998
MAC000386,2013,6,113.82,70.7129999,73.984,66.354,324.8709999
MAC000386,2013,7,92.5479999,50.3729999,57.9390001,65.46000000000001,266.31999989999997
MAC000386,2013,8,113.1569998,47.300999999999995,77.483,86.24,324.1809998
MAC000386,2013,9,151.2520003,74.4960001,81.947,83.636,391.3310004
MAC000386,2013,10,163.0119999,74.0879999,97.1590001,79.339,413.5979999
MAC000386,2013,11,160.5150002,65.426,126.7750001,92.934,445.6500003
MAC000386,2013,12,165.995,73.1450001,122.114,100.04800000000004,461.30200010000004
