LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000133,2011,12,94.3740001,88.13599930000001,125.6520002,122.8469999,431.0089995
MAC000133,2012,1,206.5819993,176.3480004,187.9170001,177.37899979999997,748.2259996
MAC000133,2012,2,156.198,145.2379999,168.6880003,171.4010002,641.5250004000001
MAC000133,2012,3,210.3260005,122.978,190.2059997,215.56800009999998,739.0780003
MAC000133,2012,4,227.37299969999998,149.3859998,148.264,149.3970003,674.4199998
MAC000133,2012,5,214.0070004,104.2389999,160.76,142.41400040000002,621.4200007000001
MAC000133,2012,6,190.0570004,114.5170001,168.2339996,146.9259999,619.734
MAC000133,2012,7,177.9499996,105.493,129.3360004,154.16099979999998,566.9399998
MAC000133,2012,8,140.6670002,125.3159996,139.0810001,156.2840004,561.3480003
MAC000133,2012,9,156.7669998,128.5280006,131.0159999,131.81100009999997,548.1220004
MAC000133,2012,10,194.4750002,155.9600001,183.9069998,151.4710001,685.8130002
MAC000133,2012,11,156.3609999,157.3810003,189.3830004,174.35399979999997,677.4790004
MAC000133,2012,12,160.9509998,170.6759991,183.27999979999998,182.6099998,697.5169985
MAC000133,2013,1,164.1579998,183.19099980000001,182.501,217.50399980000003,747.3539994
MAC000133,2013,2,155.4539997,180.8830004,178.13199989999998,183.03799980000002,697.5069998
MAC000133,2013,3,183.2230006,175.7319996,155.1610001,223.4660007,737.582001
MAC000133,2013,4,182.9900003,155.7009998,152.1319993,158.2759998,649.0989992
MAC000133,2013,5,197.8979995,173.77099950000002,144.7159997,143.40400019999996,659.7889989
MAC000133,2013,6,197.5630001,125.0560002,145.5929999,139.7590003,607.9710005000001
MAC000133,2013,7,152.04,130.7889999,153.91,149.57799989999998,586.3169998
MAC000133,2013,8,130.9199998,111.9249998,119.2379996,145.70000019999998,507.7829994
MAC000133,2013,9,169.6089998,140.7499999,175.93200099999999,161.6280004,647.9190011000001
MAC000133,2013,10,190.1959999,142.9229997,183.3650003,169.08599999999996,685.5699999
MAC000133,2013,11,175.8459999,134.2329999,155.1200002,229.4969995,694.6959995
MAC000133,2013,12,147.0019999,163.9569997,157.4979999,231.00399979999997,699.4609992999999
MAC000133,2014,1,159.6359999,165.0280006,161.7729999,224.9559998,711.3930002000001
MAC000133,2014,2,153.6250003,126.3269997,133.1449994,194.1160002,607.2129996
MAC000135,2011,12,20.078,16.962999999999997,22.692999999999998,35.417,95.151
MAC000135,2012,1,35.461999999999996,30.619999999999997,39.141,70.90599999999999,176.129
MAC000135,2012,2,30.909,27.491999999999997,35.95399999999999,61.718,156.07299999999998
