LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000130,2011,12,16.826999999999998,17.549,26.818999899999998,19.759000000000004,80.9539999
MAC000130,2012,1,29.861999999999995,27.426999999999996,36.9,29.057999999999996,123.24699999999999
MAC000130,2012,2,32.291999999999994,28.506999999999998,36.873,32.009,129.68099999999998
MAC000130,2012,3,26.850999999999996,24.249999999999996,31.955,28.461000000000006,111.517
MAC000130,2012,4,37.6659999,23.853999999999996,32.431,22.58599999999999,116.53699989999998
MAC000130,2012,5,30.310999999999996,22.502999999999997,30.99,24.698000000000004,108.502
MAC000130,2012,6,30.860999999999997,19.65,26.055999999999994,21.416000000000007,97.983
MAC000130,2012,7,30.068999999999996,18.11,26.547999999999995,22.872000000000014,97.599
MAC000130,2012,8,42.638999899999995,25.284,29.229999999999997,30.36099999999999,127.51399989999999
MAC000130,2012,9,27.917999999999996,20.816999999999997,28.468,20.994000000000007,98.197
MAC000130,2012,10,29.706999999999997,22.939999999999998,37.111999999999995,24.843999999999998,114.603
MAC000130,2012,11,26.359999999999996,26.601999999999997,37.135,31.335,121.432
MAC000130,2012,12,28.613999999999997,33.239999999999995,40.010999999999996,33.569,135.434
MAC000130,2013,1,26.081999999999997,28.487,37.584999999999994,27.758000000000003,119.91199999999999
MAC000130,2013,2,24.448999999999998,27.909999999999997,32.137,27.366999999999997,111.86299999999999
MAC000130,2013,3,26.082999999999995,26.761999999999997,35.894,28.860999999999997,117.6
MAC000130,2013,4,28.968999999999998,22.028,30.194,20.368999999999996,101.55999999999999
MAC000130,2013,5,25.325999999999997,18.729,27.483999999999995,24.324,95.863
MAC000130,2013,6,25.477999999999998,20.044999999999998,24.818999999999996,22.044000000000008,92.386
MAC000130,2013,7,34.1230001,23.485999999999997,26.708999999999996,26.621000000000006,110.9390001
MAC000130,2013,8,33.69499999999999,20.601999999999997,27.331999999999997,25.506,107.13499999999999
MAC000130,2013,9,29.549999999999997,21.922999999999995,30.481999999999996,22.536999999999995,104.49199999999999
MAC000130,2013,10,27.676,23.673,36.285999999999994,24.126000000000005,111.761
MAC000130,2013,11,23.491999999999997,25.357,35.730999999999995,30.362,114.942
MAC000130,2013,12,30.079999999999995,29.261,40.477999999999994,31.962000000000003,131.781
MAC000130,2014,1,25.897999999999996,29.519999999999996,41.224,32.108,128.75
MAC000130,2014,2,21.511,23.628,28.609999999999996,25.387999999999995,99.13699999999999
MAC000202,2011,11,5.661000000000001,0.9209999999999998,4.147,10.697000099999997,21.4260001
MAC000202,2011,12,126.5690001,115.8330001,136.0780002,258.9159997,637.3960001
MAC000202,2012,1,145.9140004,142.8810001,143.648,310.2970008,742.7400013
MAC000202,2012,2,142.475,114.1910003,148.6379996,292.41400030000005,697.7180002
MAC000202,2012,3,118.119,98.70299990000001,138.7120004,276.11000049999996,631.6440008
MAC000202,2012,4,116.9570004,98.6450002,131.04399999999998,171.30900019999999,517.9550008
MAC000202,2012,5,110.479,93.114,115.5209998,140.6009999,459.7149997
