LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000031,2011,12,101.0330002,63.8819999,100.82199969999999,115.56899999999996,381.30599979999994
MAC000031,2012,1,223.6340002,159.111,247.3790012,197.52500009999997,827.6490014999999
MAC000031,2012,2,192.44899999999998,131.17999989999998,176.2040001,183.36599970000003,683.1989997000001
MAC000031,2012,3,187.7519995,108.0970002,219.9439995,190.00999979999997,705.802999
MAC000031,2012,4,119.7769998,71.6020004,119.56399959999999,119.691,430.63399979999997
MAC000031,2012,5,215.45,140.1879994,180.8210002,136.68800000000002,673.1469996
MAC000031,2012,6,157.0039999,120.3590006,170.95,110.27499999999998,558.5880005
MAC000031,2012,7,173.22799990000001,93.115,154.1269997,116.98599969999998,537.4559992999999
MAC000031,2012,8,106.439,58.112000099999996,82.6360004,83.75000000000001,330.9370005
MAC000031,2012,9,182.1769994,104.2920001,165.7599994,92.178,544.4069989
MAC000031,2012,10,196.9640003,127.305,175.9869999,94.07099999999997,594.3270001999999
MAC000031,2012,11,174.5589999,145.23499950000001,198.9080003,146.74799979999997,665.4499995
MAC000031,2012,12,189.9019998,135.84199999999998,190.838,170.96300009999996,687.5449999
MAC000031,2013,1,198.0120005,147.3640004,188.6180003,186.18300000000002,720.1770012000001
MAC000031,2013,2,161.2870004,102.16099990000001,142.6370001,129.23899989999998,535.3240003
MAC000031,2013,3,215.9700001,128.0029999,199.7240006,168.01200019999993,711.7090008
MAC000031,2013,4,177.9720001,97.769,148.2019998,116.22999999999999,540.1729999
MAC000031,2013,5,181.9669999,117.0699997,159.5249998,93.87699980000002,552.4389992
MAC000031,2013,6,175.2010002,90.1290001,130.9990007,82.05300009999999,478.3820011
MAC000031,2013,7,161.674,72.7610001,127.6219998,113.29199979999999,475.3489997
MAC000031,2013,8,58.66099989999999,36.777999799999996,36.803999999999995,69.57900000000004,201.82199970000002
MAC000031,2013,9,172.81099989999998,100.2209997,184.4230004,109.441,566.896
MAC000031,2013,10,210.6049994,125.6710002,193.141999,128.80399989999998,658.2219984999999
MAC000031,2013,11,182.7689998,124.28100029999999,181.7989996,155.7359999,644.5849996000001
MAC000031,2013,12,222.5159998,177.7349997,205.1650002,184.1949998,789.6109995
MAC000031,2014,1,275.4009997,177.7529998,259.8620003,197.58900020000002,910.605
MAC000031,2014,2,197.2499998,140.2350002,224.48300079999999,198.5069994,760.4750002000001
MAC000088,2011,12,56.184999999999995,58.333,73.9340001,87.62800020000002,276.0800003
MAC000088,2012,1,105.6790001,76.209,112.647,125.4469999,419.98199999999997
MAC000088,2012,2,126.6420002,89.2859999,95.556,120.489,431.9730001
